"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.949714000E-2,-2.836530447E0,5.471948147E0,7.746439457E0
3.149927600E-2,-2.774281263E0,5.457582951E0,7.751227856E0
3.350172400E-2,-2.745550871E0,5.481524944E0,7.765593052E0
3.550443200E-2,-2.731185675E0,5.486313343E0,7.722497463E0
3.750734900E-2,-2.692878246E0,5.486313343E0,7.722497463E0
3.951042100E-2,-2.664147854E0,5.467159748E0,7.712920666E0
4.151359900E-2,-2.616263866E0,5.467159748E0,7.703343868E0
4.351682800E-2,-2.601898670E0,5.457582951E0,7.727285862E0
4.552005700E-2,-2.568379879E0,5.481524944E0,7.708132267E0
4.752250500E-2,-2.544437885E0,5.486313343E0,7.712920666E0
4.952438000E-2,-2.520495892E0,5.495890141E0,7.708132267E0
5.152625500E-2,-2.525284290E0,5.510255337E0,7.717709064E0
5.352813000E-2,-2.506130695E0,5.495890141E0,7.708132267E0
5.553000500E-2,-2.510919094E0,5.505466938E0,7.712920666E0
5.753188000E-2,-2.506130695E0,5.519832134E0,7.727285862E0
5.953375500E-2,-2.515707493E0,5.543774128E0,7.717709064E0
6.153563000E-2,-2.501342297E0,5.553350925E0,7.736862659E0
6.353750500E-2,-2.496553898E0,5.586869717E0,7.736862659E0
6.553938000E-2,-2.496553898E0,5.577292919E0,7.775169849E0
6.754125500E-2,-2.482188702E0,5.577292919E0,7.784746647E0
6.954313000E-2,-2.496553898E0,5.577292919E0,7.799111843E0
7.154500500E-2,-2.477400303E0,5.586869717E0,7.813477039E0
7.354688000E-2,-2.463035107E0,5.591658115E0,7.851784706E0
7.554875500E-2,-2.467823505E0,5.577292919E0,7.837419033E0
7.755063000E-2,-2.443881273E0,5.586869717E0,7.856573105E0
7.955250500E-2,-2.424727678E0,5.582081318E0,7.856573105E0
8.155438000E-2,-2.419939280E0,5.548562527E0,7.851784706E0
8.355625500E-2,-2.410362482E0,5.567716122E0,7.832630634E0
8.555813000E-2,-2.415150881E0,5.558139324E0,7.827842236E0
8.756000500E-2,-2.410362482E0,5.558139324E0,7.846996307E0
8.956188000E-2,-2.434304476E0,5.548562527E0,7.837419033E0
9.156375500E-2,-2.424727678E0,5.558139324E0,7.803900242E0
9.356563000E-2,-2.439092875E0,5.524620533E0,7.813477039E0
9.556750500E-2,-2.472611904E0,5.505466938E0,7.770381451E0
9.756938000E-2,-2.463035107E0,5.515043736E0,7.756016254E0
9.957125500E-2,-2.486977100E0,5.515043736E0,7.741651058E0
1.015731300E-1,-2.486977100E0,5.524620533E0,7.722497463E0
1.035750050E-1,-2.477400303E0,5.510255337E0,7.741651058E0
1.055768800E-1,-2.443881273E0,5.515043736E0,7.746439457E0
1.075787550E-1,-2.424727678E0,5.515043736E0,7.727285862E0
1.095806300E-1,-2.424727678E0,5.486313343E0,7.741651058E0
1.115825050E-1,-2.410362482E0,5.495890141E0,7.722497463E0
1.135843800E-1,-2.400785685E0,5.486313343E0,7.717709064E0
1.155862550E-1,-2.395997286E0,5.476736546E0,7.732074261E0
1.175881300E-1,-2.386420488E0,5.471948147E0,7.679401875E0
1.195900050E-1,-2.405574083E0,5.467159748E0,7.688978672E0
1.215918800E-1,-2.400785685E0,5.467159748E0,7.669825077E0
1.235937550E-1,-2.372055292E0,5.457582951E0,7.665036678E0
1.255956300E-1,-2.367266893E0,5.452794552E0,7.636306286E0
1.275975050E-1,-2.343324900E0,5.457582951E0,7.607575893E0
1.295993800E-1,-2.348113298E0,5.471948147E0,7.602787495E0
1.316012550E-1,-2.309806108E0,5.462371349E0,7.612364292E0
1.336031300E-1,-2.295440912E0,5.462371349E0,7.597999096E0
1.356050050E-1,-2.300229311E0,5.462371349E0,7.607575893E0
1.376068800E-1,-2.281075716E0,5.452794552E0,7.578845501E0
1.396087550E-1,-2.300229311E0,5.452794552E0,7.612364292E0
1.416106300E-1,-2.295440912E0,5.452794552E0,7.617152691E0
1.436125050E-1,-2.309806108E0,5.452794552E0,7.621941090E0
1.456143800E-1,-2.305017710E0,5.438429356E0,7.631517887E0
1.476162550E-1,-2.328959703E0,5.457582951E0,7.645883083E0
1.496181300E-1,-2.348113298E0,5.467159748E0,7.665036678E0
1.516200050E-1,-2.357690096E0,5.448006153E0,7.703343868E0
1.536218800E-1,-2.381632090E0,5.452794552E0,7.727285862E0
1.556237550E-1,-2.429516077E0,5.462371349E0,7.741651058E0
1.576256300E-1,-2.486977100E0,5.443217754E0,7.775169849E0
1.596275050E-1,-2.539649487E0,5.467159748E0,7.813477039E0
1.616293800E-1,-2.601898670E0,5.481524944E0,7.866149902E0
1.636312550E-1,-2.664147854E0,5.495890141E0,7.890091896E0
1.656331300E-1,-2.726397276E0,5.515043736E0,7.914033890E0
1.676350050E-1,-2.755127668E0,5.553350925E0,7.937975883E0
1.696368800E-1,-2.817376852E0,5.558139324E0,7.971494675E0
1.716387550E-1,-2.846107244E0,5.586869717E0,8.033743858E0
1.736406300E-1,-2.893991232E0,5.601234913E0,8.081627846E0
1.756425050E-1,-2.951452255E0,5.601234913E0,8.105569839E0
1.776443800E-1,-2.989759445E0,5.625176907E0,8.153453827E0
1.796462550E-1,-2.975394249E0,5.639542103E0,8.163030624E0
1.816481300E-1,-2.965817451E0,5.658695698E0,8.163030624E0
1.836500050E-1,-2.951452255E0,5.649118900E0,8.158242226E0
1.856518800E-1,-2.932298422E0,5.634753704E0,8.196549416E0
1.876537550E-1,-2.917933226E0,5.610811710E0,8.177395821E0
1.896556300E-1,-2.937086821E0,5.615600109E0,8.167819023E0
1.916575050E-1,-2.908356428E0,5.620388508E0,8.191761017E0
1.936593800E-1,-2.917933226E0,5.629965305E0,8.158242226E0
1.956612550E-1,-2.879626036E0,5.649118900E0,8.163030624E0
1.976631300E-1,-2.850895643E0,5.677849293E0,8.139088631E0
1.996650050E-1,-2.817376852E0,5.697002888E0,8.124723434E0
2.016668800E-1,-2.759916067E0,5.692214489E0,8.072051048E0
2.036687550E-1,-2.716820478E0,5.720944881E0,8.024167061E0
2.056706300E-1,-2.678513050E0,5.730521679E0,8.005013466E0
2.076725050E-1,-2.635417461E0,5.759252071E0,7.985859871E0
2.096743800E-1,-2.606687069E0,5.754463673E0,7.957129478E0
2.116762550E-1,-2.568379879E0,5.778405666E0,7.942764282E0
2.136781300E-1,-2.549226284E0,5.740098476E0,7.918822289E0
2.156800050E-1,-2.544437885E0,5.749675274E0,7.894880295E0
2.176818800E-1,-2.506130695E0,5.744886875E0,7.890091896E0
2.196837550E-1,-2.506130695E0,5.735310078E0,7.880515099E0
2.216856300E-1,-2.482188702E0,5.725733280E0,7.856573105E0
2.236875050E-1,-2.486977100E0,5.720944881E0,7.851784706E0
2.256893800E-1,-2.496553898E0,5.730521679E0,7.827842236E0
2.276912550E-1,-2.486977100E0,5.735310078E0,7.842207432E0
2.296931300E-1,-2.467823505E0,5.725733280E0,7.856573105E0
2.316950050E-1,-2.453458309E0,5.720944881E0,7.866149902E0
2.336968800E-1,-2.443881273E0,5.711368084E0,7.880515099E0
2.356987550E-1,-2.439092875E0,5.697002888E0,7.894880295E0
2.377006300E-1,-2.443881273E0,5.668272495E0,7.937975883E0
2.397025050E-1,-2.467823505E0,5.649118900E0,7.971494675E0
2.417043800E-1,-2.525284290E0,5.634753704E0,8.014590263E0
2.437062550E-1,-2.577956676E0,5.596446514E0,8.052897453E0
2.457081300E-1,-2.616263866E0,5.596446514E0,8.095993042E0
2.477100050E-1,-2.678513050E0,5.553350925E0,8.153453827E0
2.497118800E-1,-2.731185675E0,5.548562527E0,8.210914612E0
2.517137550E-1,-2.817376852E0,5.538985729E0,8.292317390E0
2.537156300E-1,-2.860472441E0,5.538985729E0,8.316259384E0
2.557175050E-1,-2.903568029E0,5.553350925E0,8.388085365E0
2.577193800E-1,-2.956240654E0,5.548562527E0,8.459911346E0
2.597212550E-1,-2.989759445E0,5.538985729E0,8.483853340E0
2.617231300E-1,-3.023278236E0,5.577292919E0,8.536525726E0
2.637250050E-1,-3.052008629E0,5.577292919E0,8.589199066E0
2.657268800E-1,-3.042431831E0,5.606023312E0,8.646659851E0
2.677287550E-1,-3.080739021E0,5.606023312E0,8.680178642E0
2.697306300E-1,-3.085527420E0,5.620388508E0,8.689755440E0
2.717325050E-1,-3.080739021E0,5.620388508E0,8.680178642E0
2.737343800E-1,-3.071162224E0,5.601234913E0,8.699332237E0
2.757362550E-1,-3.056797028E0,5.591658115E0,8.689755440E0
2.777381300E-1,-3.052008629E0,5.610811710E0,8.665813446E0
2.797400050E-1,-3.047220230E0,5.615600109E0,8.665813446E0
2.817418800E-1,-3.018489838E0,5.620388508E0,8.661025047E0
2.837437550E-1,-2.984971046E0,5.649118900E0,8.646659851E0
2.857456300E-1,-2.946663857E0,5.673060894E0,8.622717857E0
2.877475050E-1,-2.879626036E0,5.716156483E0,8.579621315E0
2.897493800E-1,-2.812588453E0,5.716156483E0,8.531737328E0
2.917512550E-1,-2.769492865E0,5.740098476E0,8.498218536E0
2.937531300E-1,-2.731185675E0,5.749675274E0,8.435969353E0
2.957550050E-1,-2.649782658E0,5.730521679E0,8.378508568E0
2.977568800E-1,-2.592321873E0,5.673060894E0,8.321047783E0
2.997587550E-1,-2.506130695E0,5.567716122E0,8.234856606E0
3.017606300E-1,-2.415150881E0,5.438429356E0,8.167819023E0
3.037625050E-1,-2.386420488E0,5.352237701E0,8.201337814E0
3.057643800E-1,-2.376843691E0,5.318718910E0,8.254010201E0
3.077662550E-1,-2.386420488E0,5.313930511E0,8.292317390E0
3.097681300E-1,-2.395997286E0,5.323507309E0,8.330624580E0
3.117700050E-1,-2.362478495E0,5.366602898E0,8.311470985E0
3.137718800E-1,-2.285864115E0,5.419275761E0,8.258798599E0
3.157737550E-1,-2.233191729E0,5.452794552E0,8.234856606E0
3.177756300E-1,-2.214038134E0,5.505466938E0,8.210914612E0
3.197775050E-1,-2.214038134E0,5.548562527E0,8.220491409E0
3.217793800E-1,-2.190095901E0,5.601234913E0,8.230068207E0
3.237812550E-1,-2.185307503E0,5.620388508E0,8.287528992E0
3.257831300E-1,-2.209249735E0,5.620388508E0,8.330624580E0
3.277850050E-1,-2.242768526E0,5.625176907E0,8.412027359E0
3.297868800E-1,-2.276287317E0,5.586869717E0,8.455122948E0
3.317887550E-1,-2.319382906E0,5.572504520E0,8.512583733E0
3.337906300E-1,-2.362478495E0,5.515043736E0,8.550890923E0
3.357925050E-1,-2.405574083E0,5.476736546E0,8.598775864E0
3.377943800E-1,-2.395997286E0,5.390544891E0,8.603564262E0
3.397962550E-1,-2.391208887E0,5.309142113E0,8.641871452E0
3.417981300E-1,-2.429516077E0,5.285200119E0,8.699332237E0
3.438000050E-1,-2.453458309E0,5.232527733E0,8.761581421E0
3.458018800E-1,-2.510919094E0,5.194220543E0,8.799888611E0
3.478037550E-1,-2.563591480E0,5.194220543E0,8.828619003E0
3.498056300E-1,-2.601898670E0,5.194220543E0,8.847772598E0
3.518075050E-1,-2.640205860E0,5.242104530E0,8.871714592E0
3.538093800E-1,-2.664147854E0,5.304353714E0,8.910021782E0
3.558112550E-1,-2.640205860E0,5.390544891E0,8.967482567E0
3.578131300E-1,-2.640205860E0,5.486313343E0,9.005789757E0
3.598150050E-1,-2.649782658E0,5.625176907E0,9.077615738E0
3.618168800E-1,-2.644994259E0,5.735310078E0,9.106346130E0
3.638187550E-1,-2.616263866E0,5.859808445E0,9.120711327E0
3.658206300E-1,-2.582745075E0,5.950788498E0,9.139864922E0
3.678225050E-1,-2.563591480E0,6.036979675E0,9.135076523E0
3.698243800E-1,-2.510919094E0,6.104017258E0,9.135076523E0
3.718262550E-1,-2.429516077E0,6.142324448E0,9.139864922E0
3.738281300E-1,-2.343324900E0,6.151901245E0,9.106346130E0
3.758300050E-1,-2.242768526E0,6.142324448E0,9.082404137E0
3.778318800E-1,-2.166153908E0,6.123170853E0,9.024943352E0
3.798337550E-1,-2.056020737E0,6.070498466E0,8.967482567E0
3.818356300E-1,-1.974617839E0,6.032191277E0,8.910021782E0
3.838375050E-1,-1.850119352E0,5.993884087E0,8.876502991E0
3.858393800E-1,-1.768716455E0,5.926846504E0,8.780735016E0
3.878412550E-1,-1.653794765E0,5.888539314E0,8.708909035E0
3.898431300E-1,-1.553238392E0,5.845443249E0,8.656236649E0
3.918450050E-1,-1.438316703E0,5.802347660E0,8.584410667E0
3.938468800E-1,-1.323395014E0,5.759252071E0,8.503006935E0
3.958487550E-1,-1.246780515E0,5.735310078E0,8.431180954E0
3.978506300E-1,-1.122282028E0,5.706579685E0,8.388085365E0
