"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.669333321E-3,7.656984445E-1,5.299164900E0,3.669364927E0,6.490892212E0
1.663633331E-2,2.329770452E0,3.773137509E0,2.811414668E0,5.250566585E0
2.660233330E-2,4.729858057E0,1.025068944E0,4.168605754E-1,4.857581324E0
3.656933329E-2,7.022127684E0,-3.207595981E0,-2.004510603E0,7.976027328E0
4.653533327E-2,7.176671348E0,-7.241849676E0,-2.509023280E0,1.049972362E1
5.650233326E-2,6.241060710E0,-1.026031747E1,-1.285455690E0,1.207796960E1
6.646833324E-2,6.370048533E0,-1.244614701E1,5.775905934E-1,1.399348794E1
7.643533335E-2,7.779396490E0,-1.388675126E1,2.804300653E0,1.616245564E1
8.640133333E-2,1.011590060E1,-1.509962985E1,3.964284158E0,1.860230672E1
9.636833332E-2,1.200571836E1,-1.666203510E1,2.510448246E0,2.068968432E1
1.063343333E-1,1.216366334E1,-1.778358135E1,-2.223786744E-1,2.154669172E1
1.163013333E-1,1.179010345E1,-1.888190948E1,-3.044023046E0,2.246773511E1
1.262683333E-1,1.095937899E1,-1.974236117E1,-5.485066012E0,2.323692669E1
1.362343333E-1,9.872344183E0,-2.010689063E1,-6.714197520E0,2.338441102E1
1.462013333E-1,8.578649474E0,-1.971996868E1,-6.285242271E0,2.240479105E1
1.561673332E-1,6.896129542E0,-1.863520726E1,-4.899681373E0,2.046544478E1
1.661343334E-1,5.338846444E0,-1.695045837E1,-3.297871436E0,1.807476905E1
1.761003333E-1,3.761020909E0,-1.498423855E1,-2.190618706E0,1.560357310E1
1.860673333E-1,2.319208041E0,-1.334530611E1,-1.682331944E0,1.364940152E1
1.960333333E-1,1.013503152E0,-1.187290470E1,-1.394864988E0,1.199744568E1
2.060003333E-1,-5.422240019E-2,-1.033711480E1,-1.132457737E0,1.039910299E1
2.159663333E-1,-7.622406936E-1,-8.925851292E0,-1.141594597E0,9.030784594E0
