"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.672083400E-4,1.133837461E0,-1.787842904E0,1.166124719E1,1.185186296E1
1.063420833E-2,1.439761372E-1,-1.977658434E0,8.367196614E0,8.598944190E0
2.060020831E-2,-6.528432356E-1,-2.207846358E0,5.886922925E0,6.321127380E0
3.056720831E-2,-1.202880214E0,-2.400184377E0,4.103041509E0,4.903341257E0
4.053320829E-2,-1.557994704E0,-2.364395032E0,2.784987885E0,3.971633024E0
5.049920839E-2,-1.789370635E0,-2.219556284E0,1.667783779E0,3.302995625E0
6.046620838E-2,-1.966313666E0,-1.972668859E0,5.075412422E-1,2.831149938E0
7.043220836E-2,-1.992183503E0,-1.282555178E0,-5.760495597E-1,2.438355181E0
8.039920835E-2,-1.656267541E0,-5.455145225E-1,-1.744726120E0,2.466754446E0
9.036520834E-2,-1.273489217E0,1.811511994E-1,-2.810272999E0,3.090667383E0
1.003312083E-1,-9.128390948E-1,9.340862685E-1,-3.469237831E0,3.706939910E0
1.102982083E-1,-5.392470017E-1,1.653815950E0,-3.827968020E0,4.204668083E0
1.202642083E-1,-1.751348531E-1,2.260016531E0,-4.076672906E0,4.664505217E0
1.302312083E-1,8.679731168E-2,2.689403158E0,-4.143808297E0,4.940806647E0
1.401972084E-1,1.821483690E-1,3.028296668E0,-4.127363588E0,5.122390938E0
1.501642084E-1,2.711771974E-1,3.372507927E0,-3.947545334E0,5.199082703E0
1.601302084E-1,3.829804192E-1,3.567346509E0,-3.580522624E0,5.068804334E0
1.700962083E-1,4.078592254E-1,3.696723171E0,-3.166012337E0,4.884234379E0
1.800632083E-1,3.686478703E-1,3.839639939E0,-2.752435851E0,4.738632633E0
1.900292083E-1,4.202926717E-1,3.915876814E0,-2.462740813E0,4.644978952E0
1.999962083E-1,6.243976278E-1,3.881216859E0,-2.442677262E0,4.628216601E0
