"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.394583288E-3,-6.104748664E0,-7.291264495E0,3.559745713E0,1.015392947E1
1.436058339E-2,-2.387848798E0,-5.907183527E0,7.281170447E0,9.675333699E0
2.432758338E-2,1.655449077E0,-1.051266809E1,3.988497478E0,1.136506992E1
3.429358336E-2,5.743567908E0,-1.006346744E1,-1.664022557E0,1.170602069E1
4.426058335E-2,5.902060196E0,-1.023269288E1,-3.208417222E0,1.224076220E1
5.422658334E-2,-1.422268842E0,-1.134217398E1,-3.673972240E-1,1.143690256E1
6.419358333E-2,-5.527317992E0,-9.408788620E0,-5.358470285E-1,1.092536862E1
7.416058332E-2,-7.222816404E0,-7.685029446E0,-3.363396796E0,1.106983254E1
8.412658330E-2,-8.285931426E0,-5.674141577E0,-3.195151352E0,1.053857364E1
9.409358329E-2,-6.820912714E0,-4.414095840E0,-1.333445543E0,8.233296385E0
1.040595834E-1,-3.653102358E0,-5.286899781E0,4.413121694E-1,6.441368066E0
1.140265834E-1,-1.260565554E0,-6.476428682E0,1.330950828E0,6.730868004E0
1.239925834E-1,2.737882715E-1,-7.722773808E0,7.336899090E-1,7.762376967E0
1.339595834E-1,2.387714166E-2,-8.188672349E0,1.350856212E0,8.299381752E0
1.439265833E-1,-8.309348063E-1,-9.178597773E0,2.725738049E0,9.610762594E0
1.538925833E-1,-2.389571096E0,-7.991014826E0,2.051337444E0,8.589199804E0
1.638595833E-1,-3.426712786E0,-5.936524855E0,1.663291655E0,7.053454969E0
1.738255833E-1,-4.094756590E0,-3.644919764E0,6.475431731E-1,5.520125341E0
1.837925833E-1,-4.211519054E0,-1.707242544E0,-5.025547367E-1,4.572103576E0
1.937585834E-1,-3.724225258E0,-4.409923267E-1,-1.596515283E0,4.075927999E0
2.037255834E-1,-2.684870397E0,-4.692162520E-1,-2.563243048E0,3.741511441E0
2.136925834E-1,-1.514121437E0,-1.410009862E0,-2.844304964E0,3.517209443E0
2.236585834E-1,-4.731838436E-1,-2.158296760E0,-2.662146947E0,3.459649436E0
2.336255834E-1,-5.237468004E-2,-2.393851842E0,-2.371599678E0,3.370126820E0
2.435915833E-1,-1.766458101E-1,-2.315130193E0,-1.834367152E0,2.959042819E0
2.535585833E-1,-5.790371946E-1,-2.085852681E0,-1.136184168E0,2.444786278E0
2.635245833E-1,-1.106300291E0,-2.050611513E0,-8.212303287E-1,2.470491280E0
2.734915833E-1,-1.566895774E0,-1.793422317E0,-9.290184867E-1,2.556286627E0
2.834585833E-1,-1.642309361E0,-1.112361442E0,-9.435353690E-1,2.196539780E0
2.934245834E-1,-1.562845846E0,-3.808525443E-1,-9.613202602E-1,1.873945688E0
3.033915834E-1,-1.407745674E0,2.815241379E-1,-1.066528042E0,1.788431096E0
3.133575834E-1,-1.128583372E0,8.296491498E-1,-1.132872305E0,1.801504316E0
3.233245834E-1,-6.889613405E-1,1.267545961E0,-1.002268311E0,1.756667942E0
3.332905833E-1,-1.836787680E-1,1.637594604E0,-8.270243347E-1,1.843752486E0
3.432575833E-1,2.640007634E-1,1.899048175E0,-4.816404158E-1,1.976880842E0
3.532245833E-1,7.470693617E-1,2.116227797E0,-5.932643473E-2,2.245006091E0
3.631905833E-1,8.208125451E-1,2.317042817E0,4.225329593E-1,2.494184186E0
3.731575833E-1,4.104431100E-1,2.510573376E0,7.435524076E-1,2.650341942E0
3.831235834E-1,-3.301601082E-2,2.712135671E0,7.459684771E-1,2.813047977E0
3.930901666E-1,-2.131358345E-1,3.151201925E0,5.558468449E-1,3.206940313E0
4.030561667E-1,-1.011556431E-1,3.602689419E0,1.947774777E-1,3.609368612E0
4.130231667E-1,1.716504242E-1,3.776021356E0,-3.806905764E-1,3.799042835E0
4.229901667E-1,5.063875866E-1,3.775634855E0,-1.226705790E0,4.002081214E0
4.329561667E-1,6.029625392E-1,3.651900755E0,-1.868464898E0,4.146215627E0
4.429231667E-1,3.544079268E-1,3.213496991E0,-2.417285436E0,4.036760678E0
4.528891667E-1,-1.544781568E-1,2.450048847E0,-2.835013446E0,3.750187208E0
4.628561666E-1,-5.227366939E-1,1.717364075E0,-3.074584396E0,3.560289627E0
4.728221666E-1,-5.520834307E-1,1.178167761E0,-3.165934862E0,3.422867064E0
4.827891666E-1,-4.884271328E-1,7.286653966E-1,-3.142624644E0,3.262760178E0
4.927561667E-1,-3.009459936E-1,3.837907702E-1,-2.930709562E0,2.971013696E0
5.027221667E-1,2.492989995E-1,6.470996618E-2,-2.415429530E0,2.429122719E0
5.126891667E-1,1.265378398E0,-6.714439595E-1,-1.478974262E0,2.058976529E0
5.226551667E-1,1.965015146E0,-1.860419129E0,-2.167545301E-1,2.714668743E0
5.326221667E-1,1.315791775E0,-3.421157931E0,9.356679404E-1,3.783001993E0
5.425881667E-1,-7.500213285E-1,-4.995285687E0,1.394939248E0,5.240349855E0
5.525551667E-1,-2.996515589E0,-6.171928495E0,8.898184606E-1,6.918351242E0
5.625221666E-1,-4.267140108E0,-7.141994435E0,4.024264312E-1,8.329376702E0
5.724881666E-1,-4.677664056E0,-7.579685424E0,-2.198266572E-1,8.909573273E0
5.824551667E-1,-4.526563233E0,-7.983187743E0,-5.618686000E-1,9.194387286E0
5.924211667E-1,-3.842610033E0,-8.949379318E0,-6.167888653E-1,9.758968724E0
6.023881667E-1,-2.977665920E0,-1.027673177E1,-8.651519814E-1,1.073434666E1
6.123541667E-1,-2.382299352E0,-1.179593663E1,-6.197168586E-1,1.205004233E1
6.223211667E-1,-2.202131289E0,-1.322097793E1,-1.421247625E-1,1.340387403E1
6.322881667E-1,-1.982601817E0,-1.385147150E1,1.941889554E-1,1.399398735E1
6.422541667E-1,-1.657389768E0,-1.376532096E1,7.410167626E-1,1.388452764E1
6.522211666E-1,-1.446441962E0,-1.355076674E1,1.002404552E0,1.366456324E1
6.621871666E-1,-1.515290149E0,-1.332105419E1,1.391200538E0,1.347894759E1
6.721541666E-1,-1.354518177E0,-1.284265138E1,1.531123239E0,1.300433591E1
6.821201667E-1,-1.207901949E0,-1.218814447E1,1.504521624E0,1.233991402E1
6.920871667E-1,-1.331686408E0,-1.141434149E1,2.002008579E0,1.166484542E1
7.020541667E-1,-1.096531494E0,-1.025337097E1,2.490939888E0,1.060842963E1
7.120201667E-1,-1.708568108E-1,-8.529448662E0,2.954409204E0,9.028245692E0
7.219871667E-1,9.944797470E-1,-6.600925843E0,3.506322042E0,7.540259029E0
7.319531667E-1,2.016392583E0,-4.530236161E0,3.428892920E0,6.028779759E0
7.419201666E-1,2.880051040E0,-2.484768444E0,3.178191503E0,4.956780149E0
7.518871666E-1,3.414112913E0,-6.775928915E-2,2.210641619E0,4.067885774E0
7.618531666E-1,3.765968238E0,2.617117832E0,1.778781181E0,4.918931287E0
7.718201667E-1,4.250813513E0,5.004807293E0,2.344755696E0,6.972473796E0
7.817861667E-1,4.417502136E0,7.938625528E0,2.603976507E0,9.450756268E0
7.917531667E-1,4.739268858E0,1.161801054E1,2.855352986E0,1.286825081E1
8.017191667E-1,4.928908680E0,1.535225880E1,2.611601276E0,1.633421110E1
8.116861667E-1,5.306086249E0,1.857512244E1,2.086024297E0,1.943042003E1
8.216531667E-1,6.876730235E0,1.897772195E1,1.842301239E0,2.026912487E1
8.316191667E-1,7.245690712E0,1.529398662E1,5.278182167E-1,1.693176460E1
8.415861666E-1,5.980870138E0,1.124603640E1,-9.107205024E-1,1.277002562E1
8.515521666E-1,4.027946011E0,9.542729620E0,-1.342737938E0,1.044466289E1
8.615191666E-1,2.052841348E0,1.002208787E1,-1.952129491E0,1.041475935E1
8.714851667E-1,4.329497374E-1,1.082473048E1,-3.649854522E0,1.143169600E1
8.814521667E-1,-1.023922524E0,1.131962478E1,-5.879114553E0,1.279633973E1
8.914191667E-1,-2.239703450E0,1.121114958E1,-7.027869650E0,1.342002601E1
9.013851667E-1,-4.126882946E0,1.049979135E1,-6.137258014E0,1.284300266E1
9.113521667E-1,-4.513541484E0,8.057522811E0,-4.188626035E0,1.014102158E1
9.213181667E-1,-3.595557570E0,5.201884189E0,-2.585980531E0,6.831905200E0
9.312851666E-1,-2.457020482E0,4.010111126E0,-1.280163375E0,4.874090599E0
9.412511666E-1,-1.222771711E0,4.593812352E0,-2.762636903E-1,4.761785822E0
9.512181666E-1,-1.247795089E-1,5.737429501E0,2.265231809E-1,5.743255171E0
9.611851667E-1,9.618343035E-1,7.186620385E0,5.613327026E-4,7.250699146E0
9.711511667E-1,1.858862893E0,8.724405942E0,-7.802910483E-1,8.954299772E0
9.811181667E-1,2.503410245E0,1.003009855E1,-1.988359424E0,1.052727472E1
9.910841667E-1,2.779140084E0,1.075499425E1,-3.070403929E0,1.152479506E1
1.001051167E0,2.630851479E0,1.140609925E1,-3.886811182E0,1.233400912E1
1.011017167E0,2.146598674E0,1.181777247E1,-4.566425748E0,1.284989791E1
1.020984167E0,1.452010704E0,1.193643821E1,-5.161085241E0,1.308524715E1
1.030951167E0,9.087746222E-1,1.229712019E1,-5.245250648E0,1.339991383E1
