"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.967083223E-4,-1.751119612E0,4.763805529E0,5.256225872E0,7.306721114E0
1.046270831E-2,-3.398764557E0,6.135458826E0,4.312227988E0,8.233514787E0
2.042970830E-2,-5.934591181E0,1.053815610E1,3.539875120E0,1.260169919E1
3.039570828E-2,-5.930901003E0,1.383211721E1,3.229106133E0,1.539253650E1
4.036270827E-2,-3.768758822E0,1.539984929E1,3.026034672E0,1.614050145E1
5.032970826E-2,-8.822946290E-1,1.471777392E1,2.171879257E0,1.490330072E1
6.029570824E-2,7.343743987E-1,1.191434626E1,7.241262031E-1,1.195890092E1
7.026270824E-2,2.797609100E-1,9.891758108E0,-1.033385439E0,9.949524114E0
8.022870834E-2,-6.541619289E-1,9.252225913E0,-2.396027591E0,9.579799601E0
9.019570833E-2,2.417607325E-1,1.005178354E1,-3.209669988E0,1.055456214E1
1.001617083E-1,2.345561150E0,1.122273642E1,-2.231129093E0,1.168029995E1
1.101287083E-1,3.365615814E0,1.119550243E1,-6.512418294E-1,1.170857636E1
1.200957083E-1,3.879572329E0,1.091654346E1,5.296641827E-1,1.159752330E1
1.300617083E-1,3.277155043E0,1.086204975E1,1.542308378E0,1.145000372E1
1.400287083E-1,2.233443129E0,1.077419417E1,2.079949332E0,1.119811222E1
1.499947082E-1,1.625323199E0,1.069983863E1,1.630482198E0,1.094471080E1
1.599617082E-1,1.618038153E0,1.041963538E1,4.118826945E-1,1.055255876E1
1.699287083E-1,2.225900513E0,1.007749024E1,-8.073952317E-1,1.035192396E1
1.798947083E-1,1.885238075E0,9.525480918E0,-1.552439264E0,9.833563799E0
1.898617083E-1,1.105286749E0,8.543855032E0,-2.781943824E0,9.053083953E0
1.998277083E-1,6.367021430E-1,7.064791893E0,-4.912491453E0,8.628397672E0
2.097947083E-1,8.215949026E-1,4.722880867E0,-8.189271104E0,9.489192963E0
2.197617083E-1,1.853077511E0,7.958861572E-1,-1.190996084E1,1.207950737E1
2.297277083E-1,4.697153703E0,-5.415145007E0,-1.385402322E1,1.559875020E1
2.396947083E-1,8.150035118E0,-1.740266332E1,-9.290644459E0,2.134459738E1
2.496607082E-1,5.247125850E0,-4.493478108E1,5.436161070E0,4.556554320E1
2.596277082E-1,2.591880080E0,-5.708684355E1,6.389812707E0,5.750178480E1
2.695947083E-1,2.662510644E0,-3.872466851E1,6.621610661E-1,3.882173839E1
2.795607083E-1,-2.751170513E-1,-2.179831236E1,-2.030232797E0,2.189438185E1
2.895277083E-1,-4.201812091E-1,-1.209174961E1,-1.610594501E0,1.220577632E1
2.994937083E-1,2.837609902E-1,-7.017376821E0,1.846070208E0,7.261685270E0
3.094607083E-1,-5.177700689E-1,-4.455507576E0,4.069358331E0,6.056344676E0
3.194267083E-1,-7.090374631E-1,-3.242405625E0,4.668657882E0,5.728201706E0
3.293937083E-1,7.890174329E-2,-3.628802499E0,4.736396706E0,5.967234437E0
3.393607083E-1,4.871341673E-1,-5.700366924E0,6.344247694E0,8.542889533E0
3.493267082E-1,1.239830451E0,-7.984251936E0,4.865486856E0,9.431777185E0
3.592937083E-1,2.652462204E0,-9.915382029E0,1.111638726E0,1.032405430E1
3.692597083E-1,3.063120345E0,-1.069782719E1,-1.215975273E-1,1.112838707E1
3.792267083E-1,2.719035385E0,-9.677188683E0,-1.093080833E0,1.011117995E1
3.891937083E-1,2.499628851E0,-7.477739804E0,-1.754686267E0,8.077354818E0
3.991597083E-1,1.967965212E0,-4.815515381E0,-1.924228624E0,5.546596367E0
4.091267083E-1,1.592699975E0,-2.778760600E0,-1.910160223E0,3.729197737E0
4.190927083E-1,1.504469584E0,-1.557918690E0,-1.784804106E0,2.806432801E0
4.290597083E-1,1.270436532E0,-8.431913012E-1,-1.562467239E0,2.183182178E0
4.390267082E-1,9.343558252E-1,-3.225277376E-1,-1.216807916E0,1.567694630E0
4.489927082E-1,2.914477399E-1,1.174740708E-1,-4.946428692E-1,5.860149405E-1
4.589597083E-1,-2.039520514E-1,4.413536847E-1,-6.121113852E-2,4.900370575E-1
4.689257083E-1,-6.735720536E-1,8.364623255E-1,2.714488006E-1,1.107724237E0
4.788927083E-1,-1.127049648E0,1.442961845E0,7.210960297E-1,1.967831110E0
4.888597083E-1,-1.972489496E0,2.183984163E0,9.755225623E-1,3.100346094E0
