"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.452041631E-3,6.757457560E-1,1.449579724E0,-8.781465411E-1,1.824569826E0
1.541904174E-2,6.622166146E-1,1.614343736E0,-7.407487408E-1,1.895612102E0
2.538504172E-2,5.194727781E-1,1.771056132E0,-4.125678420E-1,1.891217601E0
3.535104170E-2,1.685050607E-1,1.980924397E0,6.394398093E-2,1.989106396E0
4.531804170E-2,-2.123870985E-1,2.048660882E0,6.671298107E-1,2.164990040E0
5.528404168E-2,-4.560532925E-1,2.036717359E0,1.215512173E0,2.415299577E0
6.525104167E-2,-4.810647574E-1,2.053612304E0,9.402170742E-1,2.309275848E0
7.521704165E-2,-6.173896667E-1,2.215457970E0,3.390893912E-1,2.324737756E0
8.518304164E-2,-1.020384593E0,2.694305756E0,-1.684758977E-1,2.885975113E0
9.515004163E-2,-1.395951693E0,3.071557585E0,6.571568727E-2,3.374531920E0
1.051160417E-1,-1.664119914E0,3.400116141E0,2.912743700E-1,3.796699306E0
1.150820417E-1,-1.925428473E0,3.967225893E0,-1.779459751E-1,4.413368425E0
1.250490417E-1,-2.185497276E0,4.777424864E0,-4.788706628E-1,5.275367645E0
1.350149167E-1,-2.228105790E0,5.596489969E0,2.460649776E-1,6.028739782E0
1.449819166E-1,-1.964198875E0,5.743054522E0,1.144564324E0,6.176631765E0
1.549479166E-1,-1.693091113E0,5.406724432E0,1.461585373E0,5.851107451E0
1.649139167E-1,-1.500595365E0,4.859178295E0,1.937783639E0,5.442279447E0
1.748809167E-1,-1.171824117E0,3.930146359E0,2.488825243E0,4.797236001E0
1.848469167E-1,-7.532688721E-1,3.017961422E0,2.432237059E0,3.948579776E0
1.948129167E-1,-1.382480586E-1,2.222671680E0,2.065725396E0,3.037532442E0
2.047799167E-1,7.913492294E-1,1.934995102E0,1.965042189E0,2.869116668E0
2.147459167E-1,1.237103163E0,1.199696624E0,1.561405385E0,2.325442539E0
2.247129166E-1,1.374345939E0,4.476505512E-1,1.178274765E0,1.864818811E0
2.346789166E-1,8.486193446E-1,-9.218182254E-1,1.066943779E0,1.645683038E0
