"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.232083331E-3,-5.517856028E0,-5.083972746E0,1.559558541E0,7.663271943E0
1.419908332E-2,-5.567980700E0,-5.365213879E0,1.242463160E0,7.831452211E0
2.416608331E-2,-5.587292299E0,-5.834307339E0,9.914571020E-1,8.138793802E0
3.413308330E-2,-5.692907047E0,-6.402794695E0,7.668588245E-1,8.601920890E0
4.409908340E-2,-6.073724508E0,-7.061977043E0,4.897863181E-1,9.327461594E0
5.406608339E-2,-6.565691106E0,-7.607182540E0,2.429889402E-1,1.005169486E1
6.403308338E-2,-6.974749449E0,-7.670711954E0,2.276461387E-1,1.037009038E1
7.399908337E-2,-7.020420882E0,-7.952306843E0,2.998089659E-1,1.061203934E1
8.396608336E-2,-6.852185962E0,-8.054554764E0,6.474013782E-1,1.059468893E1
9.393308335E-2,-6.463772968E0,-7.952389289E0,8.973859271E-1,1.028718416E1
1.039000833E-1,-5.524965073E0,-8.346510919E0,1.318196297E0,1.009589645E1
1.138660833E-1,-4.542262130E0,-8.784827560E0,1.881666449E0,1.006707550E1
1.238330833E-1,-3.614719480E0,-8.986686893E0,2.530848889E0,1.001159000E1
1.338000833E-1,-2.828146768E0,-8.883592295E0,3.102426206E0,9.825562303E0
1.437660834E-1,-2.146663724E0,-8.424326835E0,3.353734564E0,9.317992450E0
1.537330834E-1,-1.238527983E0,-7.843044602E0,3.134906319E0,8.536681898E0
1.637000834E-1,-3.648510540E-1,-7.189669708E0,2.612794400E0,7.658404624E0
1.736660834E-1,3.645768195E-1,-6.471998246E0,2.137139633E0,6.825470194E0
1.836330834E-1,1.254280382E0,-5.939667149E0,1.664629937E0,6.294748441E0
1.936000834E-1,2.147870005E0,-5.315865133E0,1.299752132E0,5.878870918E0
2.035670833E-1,2.874180728E0,-4.792725273E0,9.911414985E-1,5.675693074E0
