"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.450458309E-3,-1.042281100E0,-3.287284175E0,1.320563250E0,3.692759731E0
8.516541682E-3,-4.717593157E-1,-2.889591357E0,1.208329453E0,3.167389324E0
1.848354167E-2,-1.324273746E-1,-2.540270215E0,1.088318861E0,2.766757618E0
2.844954166E-2,-3.327116869E-2,-2.253903998E0,9.953013539E-1,2.464105312E0
3.841654165E-2,8.192453451E-2,-1.915500778E0,9.002642190E-1,2.118095966E0
4.838254175E-2,2.483491559E-1,-1.494357702E0,8.835382587E-1,1.753688142E0
5.834954174E-2,4.300572295E-1,-1.140185198E0,9.006185603E-1,1.515283900E0
6.831654173E-2,5.276843154E-1,-8.557427882E-1,8.848322475E-1,1.339281360E0
7.828254171E-2,4.824432385E-1,-6.535430742E-1,8.998601764E-1,1.212278172E0
8.824954170E-2,3.577126269E-1,-4.689545160E-1,8.938936776E-1,1.070944708E0
9.821654169E-2,2.032250963E-1,-3.259769370E-1,8.428773057E-1,9.262848135E-1
1.081825417E-1,1.941659320E-1,-2.492981955E-1,7.912054610E-1,8.519718781E-1
1.181495417E-1,3.143072102E-1,-1.740371479E-1,6.681011063E-1,7.585756650E-1
1.281155417E-1,4.055596617E-1,-1.292857388E-1,4.666481549E-1,6.316280091E-1
1.380825416E-1,3.787742977E-1,-2.436326455E-2,2.316082120E-1,4.446413174E-1
1.480495417E-1,3.576153439E-1,9.583886124E-2,8.961442709E-3,3.703432583E-1
1.580155417E-1,3.224498966E-1,1.663706808E-1,-2.461128151E-1,4.384343246E-1
1.679825417E-1,2.680612893E-1,1.973906714E-1,-4.797494262E-1,5.839344518E-1
1.779485417E-1,1.795970826E-1,2.222920626E-1,-6.738635373E-1,7.319569250E-1
1.879155417E-1,7.057362713E-2,2.706357452E-1,-8.173957247E-1,8.639213588E-1
1.978825417E-1,-3.156290464E-2,3.535637350E-1,-9.139765245E-1,9.804879494E-1
2.078485417E-1,-9.957914237E-2,4.076502606E-1,-9.205575657E-1,1.011692133E0
2.178155417E-1,-2.124213047E-1,4.012358650E-1,-8.152895576E-1,9.331720596E-1
2.277825417E-1,-3.566137889E-1,4.004142581E-1,-6.996766555E-1,8.815057543E-1
2.377485416E-1,-5.041377973E-1,4.371391578E-1,-5.733867377E-1,8.797828783E-1
2.477155417E-1,-5.943871224E-1,4.598506205E-1,-4.068013179E-1,8.545442976E-1
2.576815417E-1,-6.546165499E-1,4.135028118E-1,-2.041555345E-1,8.007414595E-1
2.676485417E-1,-6.613710342E-1,3.991432196E-1,-1.368599296E-2,7.726022657E-1
2.776155417E-1,-6.364153370E-1,4.195139688E-1,1.239732510E-1,7.722602011E-1
2.875815417E-1,-6.061372849E-1,3.957513229E-1,2.058401173E-1,7.525899758E-1
2.975485417E-1,-5.339038526E-1,3.178262108E-1,2.687508953E-1,6.769740525E-1
3.075145417E-1,-4.295265947E-1,2.528623293E-1,3.375965971E-1,6.019999298E-1
3.174815417E-1,-2.948746834E-1,2.402507622E-1,3.292175370E-1,5.030464137E-1
3.274485416E-1,-1.457865813E-1,2.216645101E-1,2.683339888E-1,3.773486609E-1
3.374145417E-1,-6.641815715E-3,2.039427689E-1,2.089449888E-1,2.920526923E-1
3.473815417E-1,1.874201090E-1,3.176561299E-1,1.634027803E-1,4.034007718E-1
3.573485417E-1,4.751587772E-1,5.828946758E-1,8.650663197E-2,7.569844543E-1
3.673145417E-1,8.284193341E-1,7.662493984E-1,2.624288857E-2,1.128762784E0
3.772815417E-1,1.167300345E0,7.140407793E-1,-7.821001768E-2,1.370606120E0
3.872475417E-1,1.425915604E0,6.100439559E-1,-1.703919572E-1,1.560263553E0
3.972145417E-1,1.557455152E0,4.989878621E-1,-1.610855287E-1,1.643351449E0
4.071815417E-1,1.578946154E0,4.100441106E-1,-6.041109324E-2,1.632438860E0
4.171475417E-1,1.604328771E0,2.573402001E-1,1.742897111E-1,1.634157792E0
4.271145416E-1,1.675646530E0,2.539467685E-2,5.339349890E-1,1.758841310E0
4.370805417E-1,1.832416521E0,-9.279721275E-2,9.250856495E-1,2.054785898E0
4.470475417E-1,2.070788061E0,-1.481535342E-1,1.288618156E0,2.443491235E0
4.570145417E-1,2.259016073E0,-2.158268328E-1,1.542676753E0,2.744009184E0
4.669805417E-1,2.329850266E0,-3.891401320E-1,1.641868334E0,2.876693229E0
4.769475417E-1,2.378962200E0,-7.150754441E-1,1.690259306E0,3.004624862E0
4.869145417E-1,2.539278235E0,-1.045429388E0,1.570597208E0,3.163484179E0
4.968805417E-1,2.676133779E0,-1.074255284E0,1.451900484E0,3.228580405E0
5.068475417E-1,2.778056303E0,-9.004078413E-1,1.511662536E0,3.288381779E0
5.168135416E-1,2.944439117E0,-7.888351460E-1,1.655387097E0,3.468759006E0
5.267805416E-1,3.031573740E0,-7.543581352E-1,1.773070498E0,3.592112822E0
5.367475417E-1,2.996084941E0,-7.466322823E-1,1.850398756E0,3.599716697E0
5.467135417E-1,2.877044109E0,-7.664113663E-1,1.790038533E0,3.474047659E0
5.566805417E-1,2.652128620E0,-8.034337431E-1,1.581000574E0,3.190431759E0
5.666465417E-1,2.488794837E0,-8.661850382E-1,1.314012029E0,2.944656835E0
5.766135417E-1,2.398133466E0,-8.722161488E-1,9.181789184E-1,2.711984081E0
5.865805417E-1,2.242428253E0,-8.442782986E-1,5.226598030E-1,2.452440332E0
5.965465417E-1,2.057115371E0,-8.483507381E-1,2.053600609E-1,2.234635401E0
6.065135417E-1,1.834275205E0,-7.833694611E-1,-4.236892462E-2,1.995000843E0
6.164805416E-1,1.676998552E0,-6.063651802E-1,-2.303797120E-1,1.798076107E0
6.264465417E-1,1.498420932E0,-4.462260233E-1,-3.576455301E-1,1.603837048E0
6.364135417E-1,1.325407522E0,-3.331717166E-1,-4.845412195E-1,1.449996098E0
6.463795417E-1,1.154115386E0,-2.539261571E-1,-6.860766166E-1,1.366441342E0
6.563465417E-1,1.024802750E0,-1.699115353E-1,-9.190887451E-1,1.387016484E0
6.663135417E-1,8.502579537E-1,-1.422106435E-1,-1.208071007E0,1.484115229E0
6.762795417E-1,6.615190418E-1,-9.563062727E-2,-1.507358986E0,1.648903809E0
6.862465417E-1,4.664731769E-1,-1.625153191E-2,-1.790894566E0,1.850720044E0
6.962138334E-1,2.192937566E-1,8.646277785E-2,-2.019207287E0,2.032919976E0
7.061798334E-1,-6.242611684E-2,1.745017458E-1,-2.124606273E0,2.132674305E0
7.161468334E-1,-3.064020670E-1,1.956451314E-1,-2.101675247E0,2.132884921E0
7.261128334E-1,-4.958463724E-1,1.750169586E-1,-1.934270632E0,2.004469366E0
7.360798334E-1,-6.168224868E-1,2.307198007E-1,-1.698758819E0,1.821944876E0
7.460468333E-1,-7.343735216E-1,3.273633850E-1,-1.425579827E0,1.636688455E0
7.560128333E-1,-8.574634045E-1,4.119942302E-1,-1.176118312E0,1.512691978E0
7.659798333E-1,-9.341960500E-1,5.341087244E-1,-9.989845151E-1,1.468320282E0
7.759468333E-1,-1.008183647E0,6.646940799E-1,-8.346432567E-1,1.467951584E0
7.859128334E-1,-1.103369886E0,7.649340673E-1,-7.378537112E-1,1.531984769E0
7.958798334E-1,-1.194344814E0,8.331353328E-1,-7.594346148E-1,1.642350435E0
8.058458334E-1,-1.250785502E0,9.264145754E-1,-8.574041283E-1,1.777034095E0
8.158128334E-1,-1.296228015E0,9.766009350E-1,-9.642222333E-1,1.887771429E0
8.257798334E-1,-1.282609996E0,1.042324808E0,-1.055147021E0,1.960832641E0
8.357458333E-1,-1.232460035E0,1.089562929E0,-1.104006355E0,1.981144908E0
8.457128333E-1,-1.146692345E0,1.141563460E0,-1.064097939E0,1.936588467E0
8.556788333E-1,-1.178176970E0,1.191868811E0,-9.274800843E-1,1.915429858E0
8.656458333E-1,-1.222970004E0,1.291279224E0,-7.900886428E-1,1.946098078E0
8.756128333E-1,-1.205275891E0,1.389599717E0,-7.092853850E-1,1.971487536E0
8.855788334E-1,-1.145756352E0,1.445086139E0,-6.888739246E-1,1.968648991E0
8.955458334E-1,-1.100764221E0,1.462208833E0,-6.854591507E-1,1.954377340E0
9.055128334E-1,-1.091869290E0,1.500611299E0,-6.477206361E-1,1.965592745E0
9.154788334E-1,-1.098310144E0,1.587326969E0,-5.827691799E-1,2.016311483E0
9.254458334E-1,-1.089453513E0,1.651108397E0,-4.938353688E-1,2.038857834E0
9.354118333E-1,-1.017553956E0,1.731647799E0,-3.648492998E-1,2.041356208E0
9.453788333E-1,-9.073177153E-1,1.789308801E0,-1.876792502E-1,2.014962759E0
9.553458333E-1,-8.074549464E-1,1.737947443E0,8.601955891E-2,1.918291993E0
9.653118333E-1,-7.104705425E-1,1.566086812E0,4.704734033E-1,1.782902554E0
9.752788334E-1,-6.043882366E-1,1.382582327E0,7.891472411E-1,1.702813084E0
9.852458334E-1,-5.233411498E-1,1.286095667E0,1.049541296E0,1.740535825E0
9.952118334E-1,-5.066842597E-1,1.206175778E0,1.334524646E0,1.868835193E0
1.005178833E0,-5.138970195E-1,1.166269847E0,1.714407138E0,2.136227360E0
1.015144833E0,-4.470356434E-1,1.329854037E0,2.035443251E0,2.472120922E0
1.025111833E0,-3.710764383E-1,1.728219869E0,2.312206001E0,2.910453269E0
1.035078833E0,-2.962817062E-1,1.889500987E0,2.585106665E0,3.215707278E0
1.045044833E0,-1.569816604E-1,1.602692136E0,2.696490861E0,3.140752821E0
1.055011833E0,1.678523652E-2,1.137247776E0,2.736674681E0,2.963613092E0
1.064978833E0,-1.131933242E-2,6.985076509E-1,2.896346937E0,2.979407097E0
1.074944833E0,-1.900442297E-1,2.013337779E-1,3.116973494E0,3.129245254E0
1.084911833E0,-2.624168258E-1,-4.430409718E-1,3.449775959E0,3.487993988E0
1.094877833E0,-1.053988396E-1,-1.090340535E0,3.820222798E0,3.974173326E0
1.104844833E0,1.952007430E-1,-1.423870686E0,4.157872605E0,4.399251716E0
1.114811833E0,3.885528888E-1,-1.409694697E0,4.461643644E0,4.695154576E0
1.124777833E0,5.983571991E-1,-1.340118678E0,4.410230831E0,4.648019513E0
1.134744833E0,6.460717213E-1,-1.172208644E0,4.010495288E0,4.227949176E0
1.144711833E0,5.522282955E-1,-1.105221114E0,3.118265144E0,3.354109019E0
1.154677833E0,4.231865318E-1,-1.074803679E0,1.794378921E0,2.134030343E0
1.164644833E0,3.997559347E-1,-1.045543262E0,4.100786823E-1,1.192111591E0
1.174610833E0,3.600769486E-1,-9.880833317E-1,-8.933756143E-1,1.379885527E0
1.184577833E0,2.759953762E-1,-9.047790004E-1,-2.101526728E0,2.304606924E0
1.194544833E0,2.573388845E-1,-7.530322060E-1,-3.158013931E0,3.256736525E0
1.204510833E0,2.195276452E-1,-6.141574721E-1,-3.907214164E0,3.961275592E0
1.214477833E0,1.543836694E-1,-4.987710035E-1,-4.313110333E0,4.344597516E0
1.224444833E0,1.878157096E-1,-6.076139992E-1,-4.395775929E0,4.441544273E0
1.234410833E0,2.236415268E-1,-7.352096003E-1,-4.123897358E0,4.194887139E0
1.244377833E0,2.684738834E-1,-8.351981574E-1,-3.471926381E0,3.581048308E0
1.254343833E0,3.499197502E-1,-9.424739532E-1,-2.648273551E0,2.832676082E0
1.264310833E0,4.165325466E-1,-1.007420732E0,-1.855040275E0,2.151643631E0
1.274277833E0,4.681919660E-1,-9.788000728E-1,-1.085055529E0,1.534470202E0
1.284243833E0,5.681412736E-1,-9.150059268E-1,-4.530317438E-1,1.168442602E0
1.294210833E0,7.285309837E-1,-8.586419839E-1,-1.214110011E-1,1.132591754E0
1.304177833E0,8.413305710E-1,-8.110158277E-1,-6.359314799E-2,1.170311023E0
1.314143833E0,8.511557206E-1,-7.422147109E-1,-3.090434736E-1,1.170835858E0
1.324110833E0,7.499334010E-1,-6.029068445E-1,-7.946161419E-1,1.247922907E0
1.334076833E0,7.064924625E-1,-4.474646097E-1,-1.374292145E0,1.608737106E0
1.344043833E0,6.828863027E-1,-3.071200320E-1,-1.806426525E0,1.955462402E0
1.354010833E0,6.276383740E-1,-1.615237775E-1,-2.123882387E0,2.220562148E0
1.363976833E0,5.099405375E-1,-7.998698652E-3,-2.253477736E0,2.310468619E0
1.373943833E0,3.947810140E-1,1.276045181E-1,-2.251917114E0,2.289817821E0
