"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.832166644E-3,-1.938626516E0,-3.342923355E-1,-9.436745328E-1,2.181867493E0
1.579816663E-2,-1.650716633E0,-1.164969426E0,-5.484653199E-1,2.093521764E0
2.576516662E-2,-1.469395646E0,-2.062253319E0,-1.399297178E-1,2.536058485E0
3.573216661E-2,-1.394963222E0,-2.939432146E0,1.616702503E-1,3.257655752E0
4.569916660E-2,-1.274890940E0,-3.586095605E0,3.048972130E-1,3.818165909E0
5.566616659E-2,-1.106963000E0,-3.874451045E0,4.188218777E-1,4.051191152E0
6.563216657E-2,-1.119404413E0,-3.806527449E0,8.141158752E-1,4.050370615E0
7.559916656E-2,-1.227884297E0,-3.942478722E0,1.905426317E0,4.547690377E0
8.556616656E-2,-9.161467186E-1,-4.739047249E0,2.951829997E0,5.657843580E0
9.553316666E-2,1.185043502E-1,-6.162558916E0,3.370452046E0,7.025035422E0
1.055001667E-1,1.758023858E0,-7.177015749E0,3.353395718E0,8.114521907E0
1.154661666E-1,3.241381778E0,-6.748698431E0,3.037299918E0,8.079398315E0
1.254331666E-1,3.328404134E0,-4.782727704E0,2.495332024E0,6.338725446E0
1.354001666E-1,2.515959539E0,-2.393196954E0,6.539425121E-1,3.533423959E0
1.453671666E-1,2.233753031E0,-5.432531118E-2,-8.609511955E-1,2.394543966E0
1.553341666E-1,2.830984422E0,2.537338421E0,-1.125128399E0,3.964652945E0
1.653001666E-1,3.101770733E0,4.540736591E0,-5.737451720E-1,5.528874568E0
1.752671666E-1,2.700333358E0,5.020074958E0,-1.305269565E-1,5.701753250E0
1.852341666E-1,1.926427177E0,3.902755077E0,1.970833272E-1,4.356771821E0
1.952011666E-1,1.466610909E0,3.305293599E0,1.074811646E0,3.772417449E0
2.051681667E-1,1.609609830E0,2.958834377E0,1.992257908E0,3.913391911E0
2.151341666E-1,1.986254134E0,1.722282168E0,2.367937567E0,3.538161906E0
2.251011666E-1,2.330029776E0,6.665580261E-1,2.166780485E0,3.250888498E0
