"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.690832622E-4,-9.399079026E-1,7.895746726E-1,1.468017164E0,1.913616844E0
1.053608337E-2,-1.014458294E0,3.219962257E-1,1.163453243E0,1.576841986E0
2.050308336E-2,-9.974750564E-1,-1.696593010E-1,4.927413547E-1,1.125404287E0
3.047008335E-2,-6.474977110E-1,-5.827726883E-1,7.589097541E-2,8.744350932E-1
4.043608333E-2,-4.034200193E-1,-7.538388294E-1,-2.319002073E-2,8.553119137E-1
5.040308333E-2,-3.553791493E-3,-7.910054862E-1,3.449274341E-2,7.917651533E-1
6.037008332E-2,5.932492907E-1,-6.563827014E-1,1.891656125E-1,9.047467052E-1
7.033708331E-2,1.153216961E0,-3.440881759E-1,3.417007577E-1,1.251025755E0
8.030308329E-2,1.489008815E0,2.439633787E-1,3.346653879E-1,1.545531075E0
9.027008328E-2,1.782848212E0,6.191476321E-1,1.250315970E-1,1.891434492E0
1.002370833E-1,1.982122199E0,8.686629421E-1,-3.002995473E-1,2.184848630E0
1.102040833E-1,1.835261191E0,1.011634381E0,-7.493785733E-1,2.225568693E0
1.201710834E-1,1.732192613E0,7.377496308E-1,-1.025808032E0,2.144072734E0
1.301370834E-1,1.520371087E0,2.883232802E-1,-1.242524555E0,1.984571950E0
1.401040833E-1,1.018979654E0,2.119317466E-1,-1.371721124E0,1.721874979E0
1.500710833E-1,5.537807313E-1,4.966414475E-1,-1.462916054E0,1.641173119E0
1.600380833E-1,2.508670400E-1,7.318392652E-1,-1.489923758E0,1.678807847E0
1.700040833E-1,1.694492398E-1,7.633224285E-1,-1.408529493E0,1.611002640E0
1.799710833E-1,2.383541447E-1,6.421716285E-1,-1.177587790E0,1.362317915E0
1.899380833E-1,4.505591024E-1,4.701909828E-1,-1.026928432E0,1.216003729E0
1.999050833E-1,7.618522923E-1,2.563325787E-1,-9.873720179E-1,1.273196296E0
2.098710833E-1,1.363117531E0,-2.977601016E-1,-1.213536472E0,1.849167718E0
2.198380834E-1,1.898761515E0,-1.164380611E0,-1.844394250E0,2.891862315E0
2.298050834E-1,2.359464952E0,-1.288911687E0,-2.784513676E0,3.870643952E0
2.397720834E-1,2.775218649E0,-1.004227713E0,-3.193162714E0,4.348172026E0
2.497390833E-1,3.027169032E0,-7.983291239E-1,-2.744064977E0,4.163048683E0
2.597050833E-1,3.121186413E0,-6.759392989E-1,-2.138834302E0,3.843606475E0
2.696720833E-1,3.112350100E0,-7.183561707E-1,-1.781360096E0,3.657321769E0
2.796390833E-1,3.192620092E0,-8.361196786E-1,-1.796061750E0,3.757360374E0
2.896060833E-1,3.152714599E0,-1.053693404E0,-2.125542412E0,3.945606376E0
2.995720833E-1,3.398802271E0,-1.366705967E0,-2.354624627E0,4.354767412E0
3.095390833E-1,3.534645078E0,-2.024700746E0,-1.947664849E0,4.515144217E0
3.195060833E-1,2.961363882E0,-3.184065031E0,-6.963226926E-1,4.403726996E0
3.294730834E-1,2.468485703E0,-4.294923738E0,5.127563739E-1,4.980231991E0
3.394400834E-1,2.208129655E0,-4.773148211E0,1.256684757E0,5.407220820E0
3.494060833E-1,9.170724790E-1,-4.596336595E0,1.833047143E0,5.032632895E0
3.593730833E-1,-8.759493037E-1,-3.739617761E0,2.474901853E0,4.569153900E0
3.693400833E-1,-2.430849076E0,-2.372855660E0,2.923478603E0,4.481762863E0
3.793070833E-1,-3.355246362E0,-1.049180523E0,3.036719874E0,4.645441369E0
3.892730833E-1,-3.670324162E0,1.269284338E-1,2.513236783E0,4.450140381E0
3.992400833E-1,-3.698472366E0,9.815744305E-1,1.704364545E0,4.188919277E0
4.092070833E-1,-3.888646623E0,1.618574197E0,1.119229508E0,4.358214047E0
4.191740833E-1,-3.818784968E0,2.108427027E0,7.046345097E-1,4.418720737E0
4.291395834E-1,-3.645110968E0,2.489098307E0,4.958439239E-1,4.441655722E0
4.391065834E-1,-3.577426816E0,2.777230968E0,5.977292812E-1,4.568180685E0
4.490735834E-1,-3.692240111E0,3.057607298E0,7.762354195E-1,4.856350569E0
4.590405833E-1,-3.698797179E0,2.840131806E0,1.043833829E0,4.778811391E0
4.690075833E-1,-2.918426024E0,1.419926739E0,1.295700304E0,3.494601791E0
4.789735833E-1,-2.049239171E0,-2.093753439E-1,1.566236354E0,2.587724006E0
4.889405833E-1,-1.603593338E0,-7.457614857E-1,1.806920614E0,2.528365854E0
4.989075833E-1,-1.197280555E0,-4.923162621E-1,1.956136880E0,2.345704057E0
5.088745833E-1,-1.095057850E0,-3.072080326E-1,1.913055764E0,2.225603475E0
5.188405833E-1,-9.186007950E-1,-5.587014556E-3,1.475080601E0,1.737734564E0
5.288075833E-1,-6.577053416E-1,2.431120241E-1,8.005329394E-1,1.064205224E0
5.387745834E-1,-4.730973048E-1,7.081855237E-2,1.466072563E-1,5.003299060E-1
5.487415834E-1,-1.476647801E-1,-5.994390070E-2,-5.955154888E-1,6.164712937E-1
5.587075833E-1,6.870383374E-2,-5.928258061E-2,-1.245405478E0,1.248707110E0
5.686745833E-1,1.895650869E-1,1.367616963E-1,-1.640251579E0,1.656823445E0
5.786415833E-1,1.245328295E-1,3.358225518E-1,-1.623832598E0,1.662864251E0
5.886085833E-1,1.271884887E-1,6.482854772E-1,-1.255556245E0,1.418757363E0
5.985755833E-1,9.308186252E-2,6.536701781E-1,-9.996411574E-1,1.198011427E0
6.085415833E-1,7.176437605E-2,6.668790382E-1,-8.805779596E-1,1.106930585E0
6.185085833E-1,-1.408261325E-1,8.002306384E-1,-9.773246741E-1,1.270969942E0
6.284755833E-1,-2.101368707E-1,9.732316232E-1,-1.017628362E0,1.423694061E0
6.384425833E-1,1.557325490E-2,1.196169584E0,-1.011568308E0,1.566631623E0
6.484085834E-1,4.124081399E-2,1.256098282E0,-8.334867505E-1,1.508039741E0
6.583755834E-1,7.484516434E-2,1.460049748E0,-5.896004820E-1,1.576380600E0
6.683425833E-1,1.669990006E-1,1.750393242E0,-3.842332948E-1,1.799833434E0
6.783095833E-1,2.860043476E-1,1.743057910E0,-2.634263476E-1,1.785901118E0
6.882765833E-1,4.113129199E-1,1.704045287E0,-4.490077630E-1,1.809573604E0
