"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.919583306E-3,2.628412606E-1,-4.040309072E-1,8.936662209E-1,1.015364869E0
1.688658330E-2,1.776568303E-1,-2.548035318E-1,6.470126845E-2,3.172901563E-1
2.685358329E-2,2.623571111E-1,2.240869385E-1,2.227356470E-1,4.106791670E-1
3.681958327E-2,-6.731022298E-2,7.902330691E-1,5.061308938E-1,9.408333812E-1
4.678658326E-2,-3.730377406E-2,1.576181298E-1,2.917691906E-1,3.337129110E-1
5.675358337E-2,-1.403431159E-1,2.187209487E-1,5.020395970E-1,5.653130112E-1
6.672058336E-2,-2.990146217E-1,9.095501822E-1,4.664717151E-1,1.065029173E0
7.668758335E-2,-2.559425694E-1,8.234405762E-1,2.687411012E-1,9.032069313E-1
8.665458334E-2,-7.144949618E-1,5.410785323E-1,4.806781103E-1,1.017015474E0
9.662158333E-2,-4.738279510E-1,7.815177941E-1,5.992973582E-1,1.092904531E0
1.065885833E-1,-5.432669990E-1,1.705236949E0,7.714985901E-1,1.948892547E0
1.165555833E-1,-4.051781309E-1,1.532424830E0,6.879804701E-1,1.727950319E0
1.265225833E-1,-3.974662381E-1,1.437105859E0,9.114318162E-1,1.747558473E0
1.364885833E-1,-2.080195208E-1,1.468656850E0,8.737679999E-1,1.721538725E0
1.464555833E-1,-1.029042712E-1,1.542760368E0,1.029000612E0,1.857294027E0
1.564225833E-1,-4.349188238E-2,1.670851228E0,1.354445964E0,2.151315700E0
1.663895833E-1,-2.222687468E-2,1.651941333E0,1.507009322E0,2.236175596E0
1.763565834E-1,-8.918319494E-2,1.485969286E0,1.588052754E0,2.176687830E0
1.863235834E-1,-1.903868034E-1,1.739812120E0,1.618105835E0,2.383581306E0
1.962905833E-1,-6.074610946E-1,1.565063403E0,1.540869963E0,2.278752439E0
2.062575833E-1,-9.899144603E-1,1.450688941E0,2.055071038E0,2.703284301E0
2.162245833E-1,-1.258852613E0,1.200772512E0,2.580604309E0,3.112247279E0
2.261915833E-1,-1.208597256E0,1.015207030E0,2.784003798E0,3.200317139E0
2.361585833E-1,-1.110763252E0,8.413213617E-1,2.628028736E0,2.974584286E0
2.461248334E-1,-9.463279992E-1,2.593842405E-1,2.318098825E0,2.517220496E0
2.560918333E-1,-8.933083713E-1,-3.711461663E-2,2.183517409E0,2.359475708E0
2.660588333E-1,-7.976049462E-1,-2.368578422E-1,2.191622673E0,2.344245130E0
2.760258333E-1,-6.513798237E-1,-5.737153512E-1,2.146170804E0,2.315058120E0
2.859928333E-1,-3.758625305E-1,-1.095538418E0,2.097581173E0,2.396105975E0
2.959598333E-1,7.406244144E-2,-1.544410452E0,2.359850429E0,2.821273283E0
3.059268333E-1,5.701777858E-1,-1.696489515E0,2.933549847E0,3.436407148E0
3.158938333E-1,8.627448289E-1,-1.801969192E0,3.275910171E0,3.837057343E0
3.258608333E-1,1.202218090E0,-1.411089842E0,3.279402128E0,3.767091875E0
3.358278333E-1,1.065919932E0,-1.274576653E0,3.178930006E0,3.586966257E0
3.457948333E-1,8.175875133E-1,-1.395743240E0,3.483981001E0,3.841181088E0
3.557608334E-1,8.254903176E-1,-1.647167081E0,3.718828570E0,4.150214403E0
3.657278334E-1,8.895247842E-1,-1.886363810E0,3.659851799E0,4.212379132E0
3.756948333E-1,5.828717986E-1,-1.904439307E0,3.602083063E0,4.116021258E0
3.856618333E-1,1.409725687E-1,-2.087718528E0,3.505621546E0,4.082624688E0
3.956288333E-1,-6.345030051E-1,-1.379365189E0,2.715544598E0,3.111177406E0
4.055958333E-1,-1.253680166E0,-4.080543762E-1,1.832053847E0,2.257131727E0
4.155628333E-1,-1.758613550E0,2.879513973E-1,3.576952314E-1,1.817576272E0
4.255298333E-1,-1.144442044E0,2.598046553E-1,-2.467998630E-1,1.199231514E0
4.354968333E-1,2.144632986E-1,4.016282862E-1,-5.852045453E-1,7.414608193E-1
4.454638333E-1,1.665758450E0,-3.267693079E-1,-8.335113819E-1,1.891103016E0
4.554298333E-1,2.203618821E0,-1.636949657E0,-1.354452688E0,3.061058995E0
4.653968334E-1,2.097976298E0,-1.612625824E0,-1.796142295E0,3.198154740E0
4.753638334E-1,1.775057821E0,-1.577303964E-1,-2.146953015E0,2.790182143E0
4.853308334E-1,1.441083574E0,1.997692457E0,-1.942447525E0,3.136972968E0
4.952978333E-1,1.132172832E0,2.617638234E0,-1.913451767E0,3.434405758E0
5.052648333E-1,3.556805733E-1,2.284767357E0,-2.647406409E0,3.515029337E0
5.152318333E-1,-1.911703303E-1,1.753165991E0,-2.945650660E0,3.433219320E0
5.251988333E-1,-4.721299195E-1,1.240108486E0,-2.716726905E0,3.023471646E0
5.351658333E-1,-4.915435526E-1,7.823597932E-1,-2.351105772E0,2.526143357E0
5.451328333E-1,-4.301651837E-1,3.739551687E-1,-1.997379777E0,2.077115916E0
5.550998333E-1,-7.052679093E-1,-3.985520661E-2,-1.922749279E0,2.048403293E0
5.650668333E-1,-1.189201018E0,-2.686035454E-1,-1.955754326E0,2.304630536E0
5.750338333E-1,-1.440942217E0,-2.525137621E-1,-1.812098908E0,2.328901056E0
5.849998334E-1,-1.191147995E0,6.519703925E-2,-1.605203953E0,1.999940982E0
5.949668334E-1,-6.700118302E-1,5.873703539E-1,-1.523090919E0,1.764575228E0
6.049338334E-1,-8.907794505E-2,1.107029951E0,-1.416183498E0,1.799729394E0
6.149008333E-1,2.665615515E-1,1.292577306E0,-1.206140841E0,1.787900132E0
6.248678333E-1,4.660407753E-1,1.193756438E0,-9.976537619E-1,1.624057101E0
6.348348333E-1,5.225861281E-1,8.496682620E-1,-8.138558934E-1,1.287398086E0
6.448018333E-1,6.042793322E-1,5.041896182E-1,-5.763115150E-1,9.754463823E-1
