"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.697252980E-1,8.219045639E0,-2.988254070E0,-2.459485531E-1,8.748877888E0
1.890429240E-1,8.507596970E0,-3.094851971E0,1.808488369E-1,9.054834135E0
2.084215870E-1,8.947640419E0,-3.294355392E0,5.570127964E-1,9.551089455E0
2.278002490E-1,9.940866470E0,-3.076566219E0,7.705945969E-1,1.043455327E1
2.471483930E-1,1.273068142E1,-5.269551277E-1,5.871253014E-1,1.275510279E1
2.665575730E-1,1.828217697E1,6.348411560E0,-3.545527458E-1,1.935629179E1
2.859057170E-1,2.321995544E1,1.345316124E1,-1.085944176E0,2.685764608E1
3.052843800E-1,2.801912498E1,2.042259979E1,-1.881066561E0,3.472308106E1
3.246630420E-1,3.037300110E1,2.190497017E1,-2.882811546E0,3.755872091E1
3.440111860E-1,3.054563522E1,1.755390167E1,-2.972536564E0,3.535549842E1
3.633898480E-1,3.082517052E1,1.427606583E1,-3.432142496E0,3.414347368E1
3.827379930E-1,2.898103714E1,1.132064629E1,-2.734929562E0,3.123359387E1
4.021471730E-1,2.453205872E1,4.643208981E0,-7.945196629E-1,2.498024331E1
4.214953170E-1,1.891854477E1,-2.013053417E0,-5.403956771E-1,1.903301731E1
4.408434620E-1,1.532641029E1,-5.509496212E0,-4.060170650E-1,1.629166200E1
4.602221240E-1,1.300474644E1,-6.951015949E0,-6.809582114E-1,1.476156349E1
4.795702680E-1,1.160946369E1,-7.920555115E0,-1.331356168E0,1.411691715E1
4.989489300E-1,1.074048996E1,-8.332300186E0,-1.581114769E0,1.368522104E1
5.183275920E-1,1.009887028E1,-8.156439781E0,-1.460155487E0,1.306318280E1
5.376757370E-1,9.893581390E0,-7.661176682E0,-1.362839818E0,1.258705340E1
5.570849170E-1,9.920214653E0,-6.897428513E0,-1.555046797E0,1.218209134E1
5.764635790E-1,9.935839653E0,-6.196959496E0,-2.058313131E0,1.188948567E1
5.958117230E-1,1.021642780E1,-5.426009655E0,-2.387396336E0,1.181171618E1
6.151903850E-1,1.090740871E1,-5.189093113E0,-2.052302837E0,1.225194675E1
6.345690480E-1,1.157121372E1,-5.088751316E0,-1.538784504E0,1.273405806E1
6.539171920E-1,1.211192417E1,-5.049674034E0,-1.193669677E0,1.317659904E1
6.732958540E-1,1.311785221E1,-4.143018723E0,-1.161758423E0,1.380551822E1
6.926439990E-1,1.580004215E1,-1.183893442E0,-2.049866915E0,1.597638539E1
7.120226610E-1,2.571302032E1,1.022552490E1,-3.179535151E0,2.785372897E1
7.313708050E-1,3.419234467E1,1.990692902E1,-5.358152390E0,3.992633283E1
7.507494670E-1,3.883487701E1,2.162008095E1,-5.863415718E0,4.483252410E1
7.701281300E-1,4.228089523E1,2.366927338E1,-2.186254978E0,4.850451850E1
7.894762740E-1,4.053256989E1,2.275800896E1,1.035008907E0,4.649610131E1
8.088549360E-1,3.379737473E1,1.753215790E1,1.561906576E0,3.810614978E1
8.282335980E-1,2.482613373E1,1.163694859E1,2.312252045E0,2.751548651E1
8.476122600E-1,1.589866543E1,4.493309975E0,3.633063316E0,1.691616227E1
8.669909230E-1,9.778445244E0,-1.184189320E0,3.637610674E0,1.050011939E1
8.863390670E-1,6.532304764E0,-4.769773483E0,3.231934071E0,8.710174651E0
9.057177290E-1,5.686787605E0,-6.190799236E0,2.979737759E0,8.918765921E0
9.250658740E-1,6.117109299E0,-5.967308044E0,3.164264679E0,9.112648486E0
9.444445360E-1,5.631014824E0,-5.310193539E0,4.623678684E0,9.015813216E0
9.638231980E-1,5.193560600E0,-5.975884438E0,5.379922867E0,9.572243027E0
9.831713420E-1,5.136762619E0,-6.099449158E0,4.231991768E0,9.027699849E0
1.002550005E0,4.953402042E0,-6.514611721E0,3.423761368E0,8.871217480E0
1.021898149E0,5.199719429E0,-7.274517536E0,2.009362221E0,9.164781725E0
1.041276811E0,5.973361492E0,-6.195077419E0,1.940806031E0,8.821947619E0
1.060655473E0,6.581183434E0,-5.642063141E0,1.598841786E0,8.814825405E0
1.080003618E0,6.984763622E0,-5.293731689E0,1.214454174E0,8.847904667E0
1.099412798E0,7.375007153E0,-4.965707779E0,8.811354637E-1,8.934505244E0
1.118760942E0,7.596090317E0,-4.930606365E0,4.355795383E-1,9.066487565E0
1.138139604E0,7.671396255E0,-4.795788288E0,3.289451599E-1,9.053071895E0
1.157518266E0,7.776802063E0,-4.323703289E0,4.082750082E-1,8.907286284E0
1.176866411E0,8.469028473E0,-3.204860687E0,2.933566570E-1,9.059891469E0
1.196245073E0,1.093528366E1,-1.272969246E-1,3.761537075E-1,1.094249171E1
1.215623735E0,1.521079826E1,5.344331264E0,4.815973043E-1,1.612954421E1
1.234971880E0,2.337700653E1,1.286053848E1,-1.327126026E-1,2.668136985E1
1.254350542E0,2.877395821E1,1.573756981E1,-2.237774372E0,3.287277610E1
1.273698686E0,3.350930786E1,1.282153511E1,-2.861359119E0,3.599239992E1
1.293077348E0,3.863940811E1,1.174853897E1,3.472495079E-2,4.038605246E1
1.312456010E0,3.831888962E1,9.058912277E0,1.504621506E0,3.940387137E1
1.331834673E0,3.125799370E1,2.974672794E0,5.416256189E-1,3.140388840E1
1.351182817E0,2.389980698E1,-2.590447426E0,-2.339479923E-1,2.404092184E1
1.370530962E0,1.854817581E1,-6.199528694E0,-3.916440010E-1,1.956073534E1
1.389909624E0,1.453678894E1,-8.239279747E0,-1.228827477E0,1.675452119E1
1.409318803E0,1.234411812E1,-9.709210396E0,-1.715374351E0,1.579837105E1
1.428666948E0,1.149597454E1,-1.009110069E1,-1.411371708E0,1.536163123E1
1.448045610E0,1.097811031E1,-9.862739563E0,-7.689227462E-1,1.477781377E1
1.467393755E0,1.073767853E1,-9.501201630E0,-3.475649953E-1,1.434194457E1
1.486772417E0,1.052882099E1,-9.045665741E0,-2.607319951E-1,1.388337572E1
1.506151079E0,1.057064152E1,-8.338260651E0,-4.685233235E-1,1.347162080E1
1.525499223E0,1.076573563E1,-7.372757912E0,-8.394102454E-1,1.307529091E1
1.544877885E0,1.105096531E1,-6.435444832E0,-1.291809320E0,1.285330914E1
1.564256548E0,1.139519215E1,-5.704840183E0,-1.525954843E0,1.283449040E1
1.583604692E0,1.218905830E1,-5.035893440E0,-1.586691976E0,1.328348435E1
1.602983354E0,1.340813446E1,-4.295766830E0,-1.735140562E0,1.418599292E1
1.622331499E0,1.639633560E1,-2.327344418E0,-2.126171827E0,1.669661522E1
1.641710161E0,2.265920639E1,2.986688614E0,-2.586425304E0,2.300107691E1
1.661058305E0,3.139087486E1,1.344155788E1,-3.147829056E0,3.429243839E1
1.680436967E0,3.631660080E1,1.981202507E1,-3.139064789E0,4.148813757E1
1.699846147E0,3.978506851E1,2.217859650E1,-1.296477556E0,4.556778109E1
1.719194292E0,4.070881271E1,2.259642220E1,8.599009514E-1,4.656764068E1
1.738572954E0,3.696243286E1,1.916349602E1,1.521190763E0,4.166263367E1
1.757921098E0,2.985358047E1,1.314455986E1,1.301056862E0,3.264519061E1
1.777299760E0,2.176824188E1,6.228920937E0,1.300834417E0,2.267924119E1
1.796678423E0,1.416445446E1,-8.261628151E-1,1.667530775E0,1.428618123E1
1.816026567E0,9.353799820E0,-5.230128765E0,1.975089908E0,1.089719221E1
