"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.607616460E-1,-3.666162014E0,-7.880104065E0,-1.062520862E0,8.755897131E0
1.801403080E-1,-3.772877693E0,-8.431328773E0,-6.947727203E-1,9.263078328E0
1.994884530E-1,-3.883870125E0,-8.889039040E0,-1.196053028E-1,9.701225058E0
2.188671150E-1,-4.006875515E0,-9.198396683E0,6.930637956E-1,1.005713132E1
2.382152590E-1,-4.140774250E0,-9.237077713E0,1.477326751E0,1.022996141E1
2.575939210E-1,-4.721974373E0,-9.148366928E0,1.031291723E0,1.034665270E1
2.769725830E-1,-5.126286507E0,-9.233902931E0,-1.435679436E0,1.065856239E1
2.963207280E-1,-5.500880718E0,-1.123402691E1,-7.900227547E0,1.479448021E1
3.156993900E-1,-4.372745514E0,-1.624784279E1,-2.149488258E1,2.729731261E1
3.350780520E-1,-4.214601517E-1,-1.185499954E1,-4.098294449E1,4.266521278E1
3.544567140E-1,9.024510384E-1,-2.012208939E0,-4.898286438E1,4.903248317E1
3.738353760E-1,-3.298833370E0,1.091331482E0,-3.993541336E1,4.008628876E1
3.931835210E-1,-7.256314278E0,-5.718213081E0,-3.517123032E1,3.636437130E1
4.125621830E-1,-6.089937687E0,-1.222520351E1,-2.444425583E1,2.800115328E1
4.319408450E-1,-4.430949211E0,-1.293429279E1,-1.301843739E1,1.887879638E1
4.512889900E-1,-4.434456825E0,-1.199855232E1,-5.161792755E0,1.379397585E1
4.706676520E-1,-5.945606709E0,-1.056194019E1,-1.062215567E-1,1.212089530E1
4.900157960E-1,-6.644161224E0,-9.633967400E0,2.235788822E0,1.191456914E1
5.093944580E-1,-5.880843639E0,-9.796721458E0,3.353705883E0,1.190829192E1
5.287731200E-1,-4.693365574E0,-9.359445572E0,2.823381186E0,1.084427882E1
5.481212650E-1,-4.054364204E0,-8.404137611E0,1.969477415E0,9.536573776E0
5.674999270E-1,-3.779926777E0,-7.514369011E0,1.085847735E0,8.481312008E0
5.868785890E-1,-4.077605247E0,-6.869914055E0,7.541993260E-2,7.989259781E0
6.062267340E-1,-4.462660789E0,-6.703399658E0,-1.045587659E0,8.120601077E0
6.256053960E-1,-4.618596077E0,-6.905820847E0,-1.820207715E0,8.504995439E0
6.449840580E-1,-4.449457169E0,-7.327474594E0,-2.437820196E0,8.912492375E0
6.643627200E-1,-4.347768307E0,-7.440893173E0,-3.973507881E0,9.489928627E0
6.837413820E-1,-3.835569859E0,-8.182490349E0,-6.921978474E0,1.138325658E1
7.030895270E-1,-4.000049591E0,-9.737306595E0,-1.342478180E1,1.705990336E1
7.224681890E-1,-4.265586853E0,-1.329997158E1,-2.325418282E1,2.712639846E1
7.418313170E-1,-2.741493225E0,-1.443534756E1,-3.252135849E1,3.568660536E1
7.611794610E-1,-2.631459236E-1,-1.312621689E1,-3.573696899E1,3.807227034E1
7.805581240E-1,7.389140129E-1,-1.375697136E1,-3.528523636E1,3.787938964E1
7.999062680E-1,-1.392566681E0,-1.414020634E1,-2.995480347E1,3.315380714E1
8.192849300E-1,-5.564506054E0,-1.331414413E1,-2.656734467E1,3.023332539E1
8.386635920E-1,-7.630325794E0,-1.129086399E1,-2.509026337E1,2.855217675E1
8.580117370E-1,-6.367687225E0,-7.956755638E0,-2.222034454E1,2.444588130E1
8.773903990E-1,-4.317196846E0,-7.395017624E0,-1.599444008E1,1.814239752E1
8.967385440E-1,-3.915360451E0,-7.930982590E0,-8.157204628E0,1.203206215E1
9.161172060E-1,-4.427506447E0,-8.467237473E0,-1.733916759E0,9.710993311E0
9.355263850E-1,-4.863412380E0,-9.392648697E0,3.221400738E0,1.105676500E1
9.548745300E-1,-5.259078979E0,-9.614086151E0,5.913542271E0,1.245225066E1
9.742531920E-1,-5.471814632E0,-9.509550095E0,6.135730267E0,1.257058011E1
9.936318540E-1,-5.225305557E0,-8.729029655E0,4.077424049E0,1.096016258E1
1.012979999E0,-5.052671909E0,-7.935999870E0,1.476746559E0,9.523149047E0
1.032358661E0,-4.879333019E0,-7.064027786E0,-9.995059967E-1,8.643343769E0
1.051706805E0,-5.049587250E0,-6.634426117E0,-2.416171312E0,8.680542904E0
1.071085467E0,-5.194158554E0,-6.747701645E0,-2.469049215E0,8.866056880E0
1.090464129E0,-5.200914383E0,-7.265884399E0,-1.513616323E0,9.062760115E0
1.109812274E0,-4.857808113E0,-7.905467033E0,-5.771484375E-1,9.296655796E0
1.129190936E0,-4.000866413E0,-8.433843613E0,2.787801027E-1,9.338863340E0
1.148539081E0,-3.410932064E0,-8.743940353E0,5.697798729E-1,9.402956958E0
1.167917743E0,-3.401960373E0,-8.458984375E0,3.122671247E-1,9.122788049E0
1.187296405E0,-3.539379120E0,-7.717290878E0,-6.898846626E-1,8.518199569E0
1.206675067E0,-3.626371384E0,-7.694726944E0,-4.044600487E0,9.419033138E0
1.226053729E0,-4.268738747E0,-8.368928909E0,-1.062145519E1,1.418014147E1
1.245432391E0,-4.467491150E0,-1.113282681E1,-2.091402054E1,2.411005112E1
1.264780536E0,-2.914039612E0,-1.247918701E1,-2.943006134E1,3.209906924E1
1.284159198E0,-1.364345074E0,-1.276622486E1,-3.212263489E1,3.459337519E1
1.303507342E0,4.066195488E-1,-1.263030148E1,-3.296771622E1,3.530665897E1
1.322886004E0,7.432155609E-1,-1.037173462E1,-3.304537201E1,3.464277500E1
1.342264667E0,-3.817749023E-2,-1.006130695E1,-2.938966179E1,3.106418477E1
1.361612811E0,-1.753224850E0,-1.143584919E1,-2.359298706E1,2.627701434E1
1.380991473E0,-3.891075134E0,-1.104425335E1,-1.658043671E1,2.029844524E1
1.400339618E0,-5.668243885E0,-9.912518501E0,-9.192002296E0,1.465878296E1
1.419718280E0,-5.764831543E0,-9.417423248E0,-2.903661251E0,1.141719720E1
1.439096942E0,-4.831080437E0,-9.988247871E0,1.284322262E0,1.116932932E1
1.458445086E0,-4.192982197E0,-1.008474159E1,2.820840359E0,1.128008214E1
1.477823749E0,-4.273317814E0,-9.609175682E0,3.188966513E0,1.098940444E1
1.497202411E0,-4.283907413E0,-8.620273590E0,2.622817755E0,9.976981130E0
1.516581073E0,-4.270308495E0,-7.661236763E0,1.381903172E0,8.879174497E0
1.535959735E0,-4.171393394E0,-6.790025711E0,1.045967937E-1,7.969687102E0
1.555307879E0,-4.279748917E0,-6.407372475E0,-9.679889679E-1,7.765801662E0
1.574686542E0,-4.618490696E0,-6.617934227E0,-1.542293906E0,8.216214471E0
1.594065204E0,-4.671711445E0,-6.508616447E0,-1.979823828E0,8.252677037E0
1.613413348E0,-4.543191433E0,-6.323145866E0,-3.187782764E0,8.413365617E0
1.632792010E0,-3.944231033E0,-6.935682297E0,-6.942152500E0,1.057611123E1
1.652170672E0,-3.548196793E0,-8.092461586E0,-1.333064938E1,1.599324382E1
1.671518817E0,-1.919417858E0,-1.083041859E1,-2.278365707E1,2.529974627E1
1.690897479E0,-1.729221344E-1,-1.197487640E1,-3.139086151E1,3.359782364E1
1.710245624E0,4.591870308E-1,-1.275432968E1,-3.668811417E1,3.884458134E1
1.729624286E0,-1.876883507E-1,-1.330990982E1,-3.885242462E1,4.106945124E1
1.749002948E0,-3.348077297E0,-1.179008675E1,-3.831120682E1,4.022392739E1
1.768351092E0,-5.860069275E0,-1.117979336E1,-3.486349869E1,3.707818405E1
1.787760272E0,-4.986352921E0,-1.010309887E1,-2.844388199E1,3.059396582E1
1.807108417E0,-3.637737751E0,-7.186029434E0,-2.023341179E1,2.177758268E1
1.826487079E0,-3.513296604E0,-5.815899849E0,-1.209019089E1,1.386869351E1
1.845865741E0,-4.111520290E0,-6.538267136E0,-4.209549904E0,8.796240483E0
1.865213885E0,-4.626152515E0,-7.687560081E0,1.817439318E0,9.154395271E0
1.884592547E0,-5.185674191E0,-8.823580742E0,5.109717369E0,1.143923098E1
1.903971210E0,-5.969517708E0,-9.232504845E0,5.666107178E0,1.236847031E1
1.923319354E0,-6.078974724E0,-8.896991730E0,4.460453987E0,1.166216298E1
1.942698016E0,-5.195121288E0,-8.185865402E0,2.162679195E0,9.933521978E0
1.962046161E0,-4.448961735E0,-7.169460297E0,-3.908916712E-1,8.446728228E0
1.981424823E0,-4.398181915E0,-6.253712654E0,-2.434856176E0,8.023805252E0
2.000803485E0,-4.293426037E0,-6.233901978E0,-3.099681139E0,8.179429330E0
2.020151629E0,-3.690137386E0,-7.005264282E0,-2.692098856E0,8.362908456E0
2.039530292E0,-3.034786701E0,-8.010759354E0,-1.883678913E0,8.771000057E0
