"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.446734370E-1,2.984287262E0,-1.525536442E1,-2.608570457E-1,1.554670899E1
1.640520990E-1,2.303896666E0,-1.606399155E1,-4.032372832E-1,1.623337194E1
1.834307610E-1,1.989997149E0,-1.483613396E1,-7.063478231E-2,1.496916660E1
2.027789050E-1,2.204989672E0,-1.155560589E1,1.029785156E0,1.180908398E1
2.221575680E-1,3.232676029E0,-8.877638817E0,1.720544815E0,9.603277552E0
2.415057120E-1,4.430697441E0,-7.722501755E0,8.837602139E-1,8.947018793E0
2.608843740E-1,4.629187107E0,-7.152783394E0,4.321005940E-1,8.531025406E0
2.802630360E-1,4.679682255E0,-6.826546669E0,6.865950823E-1,8.304973103E0
2.996416980E-1,4.178307533E0,-6.086581230E0,6.820921898E-1,7.414173903E0
3.190203610E-1,4.788799286E0,-4.252927780E0,-8.188440800E-1,6.456818019E0
3.383685050E-1,5.961549282E0,1.556911469E0,3.726048708E0,7.200519574E0
3.577471670E-1,7.064230919E0,1.195857430E1,-2.376919508E0,1.409115339E1
3.771258290E-1,5.947154522E0,3.213456345E1,-7.275398254E0,3.348029621E1
3.964739740E-1,9.089991570E0,3.282317734E1,-1.124899960E1,3.586821586E1
4.158526360E-1,1.525916958E1,2.879247284E1,-6.395885468E0,3.320777167E1
4.352007800E-1,1.517316341E1,2.311899567E1,2.471032619E0,2.776362460E1
4.545794430E-1,8.679409981E0,1.734069443E1,2.549011707E-1,1.939321571E1
4.739581050E-1,4.963928223E0,9.910751343E0,4.760984421E0,1.206360428E1
4.933062490E-1,2.795778990E0,2.425448418E0,4.835214615E0,6.089210175E0
5.126849110E-1,1.074052334E0,-3.865469933E0,-6.441473961E-3,4.011918208E0
5.320330560E-1,1.428709745E0,-9.477690697E0,-2.243425369E0,9.843819882E0
5.514117180E-1,1.067037344E0,-1.533926678E1,-9.089025259E-1,1.540317428E1
5.707903800E-1,1.804764509E0,-1.846090698E1,1.923169136E0,1.864834687E1
5.901690420E-1,1.819319248E0,-1.748069763E1,1.679939747E0,1.765522330E1
6.095477040E-1,1.840239525E0,-1.237705898E1,7.429860830E-1,1.253515452E1
6.288958490E-1,3.051067352E0,-9.906118393E0,6.656177044E-1,1.038668573E1
6.482745110E-1,3.832276821E0,-8.153791428E0,9.076753855E-1,9.055083373E0
6.676531730E-1,4.612655640E0,-6.898008347E0,1.122978210E0,8.373779986E0
6.870013180E-1,4.943165779E0,-6.613440514E0,1.260712028E0,8.352357641E0
7.063799800E-1,4.321997643E0,-7.477219582E0,1.702531219E0,8.802675096E0
7.257281240E-1,3.518051624E0,-8.389581680E0,1.679226518E0,9.251030737E0
