"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.650553280E-1,1.031035900E0,-1.592973614E1,3.230159760E0,1.628660371E1
1.844034720E-1,1.238944292E0,-5.946015358E0,3.913802862E0,7.225505826E0
2.037821340E-1,6.992799640E-1,3.786808968E0,8.266025782E-1,3.938551313E0
2.231607960E-1,-7.678532600E-2,9.364874840E0,-1.664938927E0,9.512034398E0
2.425089410E-1,-7.694903612E-1,1.201456356E1,-3.239347458E0,1.246736640E1
2.618876030E-1,-7.106412649E-1,1.418270302E1,-3.609282970E0,1.465199643E1
2.812662650E-1,-9.148052335E-1,1.571275520E1,-3.847812891E0,1.620287656E1
3.006144100E-1,-1.569444656E0,1.649880219E1,-3.624445438E0,1.696497082E1
3.199930720E-1,-1.263299108E0,1.691317368E1,-3.152343750E0,1.725075765E1
3.393717340E-1,-1.411630511E-1,1.661100960E1,-2.471979141E0,1.679453029E1
3.587198780E-1,1.736415267E0,1.386087608E1,-1.170021772E0,1.401813022E1
3.780985410E-1,3.121957302E0,1.077742672E1,-2.300379276E-1,1.122285443E1
3.974466850E-1,3.409614563E0,8.406407356E0,-1.393177986E0,9.177913761E0
4.168253470E-1,3.179708958E0,6.770286560E0,-4.861687660E0,8.920949281E0
4.362040090E-1,2.572863340E0,6.358463287E0,-6.833201408E0,9.682061900E0
4.555826710E-1,2.016705513E0,7.062498093E0,-6.058524132E0,9.521118374E0
4.749613340E-1,1.921649933E0,7.905210495E0,-4.801899433E0,9.446868772E0
4.943399960E-1,2.096706867E0,8.853251457E0,-4.010367393E0,9.942800797E0
5.136881400E-1,2.502747536E0,9.568709373E0,-3.497794628E0,1.049087754E1
5.330668020E-1,2.811109543E0,9.967680931E0,-2.827783346E0,1.073561170E1
5.524454640E-1,3.053045988E0,1.019209480E1,-2.256843328E0,1.087626903E1
5.717936090E-1,3.218016863E0,1.007050991E1,-1.742944717E0,1.071488025E1
5.911722710E-1,3.129974127E0,9.347372055E0,-1.680223942E0,9.999662738E0
6.105204160E-1,2.884819984E0,8.873052597E0,-2.095994949E0,9.562763385E0
6.298990780E-1,2.756146431E0,8.429293633E0,-2.511997461E0,9.217345905E0
6.492777400E-1,2.723315239E0,7.995589256E0,-2.590357542E0,8.834921937E0
6.686258840E-1,4.023983955E0,1.576931953E0,-2.244899511E0,4.870188402E0
6.880045460E-1,1.785268974E1,-5.067105865E1,9.190168381E0,5.450443937E1
7.073832090E-1,-3.937705278E0,-1.042822113E2,3.237192631E-1,1.043570310E2
7.267618710E-1,-3.214302540E0,-2.476697922E1,-2.903170586E0,2.514285982E1
7.461405330E-1,-1.316239119E0,-7.437763214E0,-4.858198166E-1,7.568938363E0
7.655191950E-1,-2.100921631E0,-4.442100525E0,-1.143381596E-1,4.915201114E0
7.848673390E-1,-2.495714426E0,-5.159818649E0,7.403307915E0,9.362760654E0
8.042460020E-1,-3.233163834E0,-2.885179520E0,1.215559959E1,1.290489096E1
8.235941460E-1,-2.184921503E0,6.182136536E-1,4.809718132E0,5.318783564E0
8.429728080E-1,-1.544265747E0,3.200155258E0,-2.500116825E-1,3.562057862E0
8.623514700E-1,-1.438468575E0,5.333672523E0,-2.849052906E0,6.215654181E0
8.816996150E-1,-1.895069242E0,7.581569672E0,-4.457780838E0,8.996849233E0
9.010782770E-1,-2.461698055E0,9.430007935E0,-5.518158436E0,1.119978033E1
9.204569390E-1,-2.651503801E0,1.041371727E1,-5.666695595E0,1.214855624E1
9.398050840E-1,-2.483301163E0,1.061542225E1,-5.132094860E0,1.204957974E1
9.591837460E-1,-1.940843582E0,1.029636383E1,-4.173731804E0,1.127838726E1
9.785624080E-1,-1.245262623E0,9.838662148E0,-3.148540497E0,1.040496320E1
9.979105520E-1,-5.501950383E-1,9.549719810E0,-2.356219292E0,9.851478691E0
1.017319732E0,2.877069116E-1,9.468472481E0,-1.767633080E0,9.636351648E0
1.036667877E0,1.184753895E0,9.403546333E0,-7.665537596E-1,9.508834319E0
1.056046539E0,1.494165659E0,9.681207657E0,4.328495264E-1,9.805389917E0
1.075425201E0,2.023549318E0,9.513811111E0,1.675852656E0,9.869946091E0
1.094773345E0,3.229738951E0,7.083209038E0,1.727563262E0,7.974179506E0
1.114152007E0,5.411757469E0,-2.532434464E-1,2.254197836E0,5.867934818E0
1.133530669E0,9.174913406E0,-1.502966213E1,4.643523216E0,1.821076845E1
1.152878814E0,1.187849140E1,-3.732999039E1,4.443006039E0,3.942546186E1
1.172257476E0,6.142815113E0,-5.046220779E1,3.640160561E-1,5.083602168E1
1.191636138E0,-7.823926210E-1,-3.876379776E1,-5.127825737E0,3.910931797E1
1.210984283E0,-1.035026312E-1,-2.862278366E1,-2.422384977E0,2.872529210E1
1.230362945E0,-3.176059484E0,-2.002544212E1,3.486475945E0,2.057331283E1
1.249711089E0,-4.041593552E0,-9.877398491E0,8.465881348E0,1.362235759E1
1.269089752E0,-2.754583597E0,-7.051496506E-1,4.627962112E0,5.431666424E0
1.288468414E0,-1.824034333E0,6.082710266E0,-1.614427567E-2,6.350332753E0
1.307847076E0,-2.189001322E0,9.963041306E0,-3.190132380E0,1.068788396E1
1.327225738E0,-2.979342461E0,1.182400703E1,-6.211778641E0,1.368465629E1
1.346604400E0,-3.111482859E0,1.270233631E1,-7.140003681E0,1.490001094E1
1.365952544E0,-2.862785816E0,1.508530903E1,-7.702135086E0,1.717803761E1
1.385331207E0,-3.172076225E0,1.712171555E1,-6.907292366E0,1.873301627E1
1.404709869E0,-1.548106074E0,1.820368195E1,-3.708994389E0,1.864208433E1
1.424058013E0,2.021098137E0,1.574053192E1,5.821321011E-1,1.588043011E1
1.443436675E0,6.017758369E0,1.169915962E1,2.603399754E0,1.341124312E1
1.462784820E0,1.096202278E1,6.830949783E0,-1.631197929E-1,1.291721435E1
1.482163482E0,9.753447533E0,4.095974922E0,-4.084247589E0,1.133965730E1
1.501542144E0,6.271501541E0,5.230147362E0,-6.036930084E0,1.015532854E1
1.520890289E0,4.285608292E0,7.035127640E0,-5.513706207E0,9.912639178E0
1.540268951E0,3.430525541E0,8.382265091E0,-4.492465019E0,1.011005022E1
1.559647613E0,3.140954018E0,9.248592377E0,-3.764098883E0,1.046759254E1
1.579026275E0,3.056646824E0,9.553327560E0,-2.900735140E0,1.044142814E1
1.598404937E0,2.976832390E0,9.630213737E0,-2.335732698E0,1.034689301E1
1.617783599E0,2.914879322E0,9.458261490E0,-2.035761833E0,1.010443260E1
1.637131744E0,2.896474600E0,9.141153336E0,-2.150263071E0,9.827201061E0
1.656510406E0,3.015282154E0,8.697455406E0,-2.855051517E0,9.637892725E0
1.675858550E0,3.284912348E0,7.982735634E0,-3.952232361E0,9.493937959E0
1.695237212E0,3.465418100E0,7.334625244E0,-4.507276535E0,9.280161197E0
1.714615875E0,3.707238436E0,6.647115707E0,-4.053489685E0,8.623139954E0
1.733964019E0,5.376760006E0,3.951940536E-1,-2.538661957E0,5.959071323E0
1.753342681E0,1.870701599E1,-6.276552200E1,1.364753819E1,6.690081089E1
1.772721343E0,-1.361750221E1,-1.184892120E2,4.619750977E0,1.193585851E2
1.792069488E0,-2.870482683E0,-2.524998665E1,7.841190100E-1,2.542471906E1
1.811448150E0,-2.414080381E0,-3.777593613E0,2.101030827E0,4.950992640E0
1.830826812E0,-4.765580177E0,2.778588295E0,3.488897324E0,6.527151896E0
1.850174957E0,-3.899873257E0,1.543715477E0,6.127895355E0,7.425844758E0
1.869553619E0,-2.935229778E0,3.411836624E0,5.562663078E0,7.155377245E0
1.888932281E0,-2.442548990E0,7.076784134E0,9.417567253E-1,7.545450615E0
