"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.718901380E-1,4.077623844E0,2.585807419E1,7.291357040E0,2.717408516E1
1.912382830E-1,4.784679413E0,2.989416504E1,1.717190742E-1,3.027513415E1
2.106169450E-1,3.814990997E0,3.157274055E1,1.923400640E0,3.186050176E1
2.299650900E-1,-1.151244640E0,2.329529190E1,2.025709867E0,2.341152471E1
2.493437520E-1,-2.285819530E0,1.118619919E1,-7.409133911E-1,1.144137124E1
2.687224140E-1,-1.267625809E0,8.781337738E-1,-2.277831078E0,2.750728728E0
2.880705580E-1,-6.016047001E-1,-6.623161316E0,-2.334342003E0,7.048215846E0
3.074492200E-1,8.123528957E-1,-1.006706047E1,-1.378106475E0,1.019337045E1
3.267973650E-1,1.165302515E0,-1.033556747E1,-1.012254477E0,1.045019350E1
3.461760270E-1,8.927884102E-1,-1.074431610E1,-1.560545921E0,1.089370016E1
3.655852070E-1,1.147300243E0,-1.167877769E1,-3.853647470E0,1.235154829E1
3.849333510E-1,2.250032187E0,-1.235460377E1,-5.244482040E0,1.360894819E1
4.043120130E-1,3.347818136E0,-1.110864162E1,-3.727787733E-1,1.160813374E1
4.236906750E-1,4.375896454E0,-1.017162704E1,3.090259314E0,1.149609365E1
4.430388200E-1,3.612034321E0,-9.513380051E0,2.973399639E0,1.060152335E1
4.624174820E-1,3.012737274E0,-8.666802406E0,-3.372875452E-1,9.181710773E0
4.817656270E-1,3.178504705E0,-8.227316856E0,-1.156851768E0,8.895501157E0
5.011442890E-1,3.017419815E0,-8.717868805E0,-2.168582916E0,9.476751063E0
5.205229510E-1,2.771205664E0,-9.024561882E0,-2.510960102E0,9.768685614E0
5.398710950E-1,2.110858917E0,-9.550272942E0,-2.764098167E0,1.016384166E1
5.592497570E-1,1.237723112E0,-1.001270866E1,-2.466531277E0,1.038605170E1
5.785979020E-1,7.454814911E-1,-9.927927017E0,-1.958955050E0,1.014677202E1
5.979765640E-1,1.071613789E0,-8.845620155E0,-1.063772321E0,8.973570281E0
6.173552260E-1,1.632593632E0,-8.966685295E0,-1.117070556E0,9.182301115E0
6.367033710E-1,5.408806801E-1,-7.811644554E0,-4.079809189E0,8.829449902E0
6.561350980E-1,-1.311573744E0,-4.956386566E0,-5.799799442E0,7.741037854E0
6.754832430E-1,-1.892963052E0,5.316008568E0,5.450788498E0,7.845658128E0
6.948619050E-1,-7.398777008E-1,2.023288727E1,7.514017105E0,2.159577735E1
7.142405670E-1,1.873045921E0,5.979154968E1,3.793997526E0,5.994107216E1
7.335887120E-1,8.004919052E0,2.005283546E1,7.447763443E0,2.283996759E1
7.529673740E-1,1.247720242E0,1.100263405E1,6.098956108E0,1.264167819E1
7.723460360E-1,2.841484070E0,1.144474506E1,2.143119097E0,1.198537362E1
7.916941800E-1,1.033324838E0,1.014704037E1,-3.809163570E0,1.088760376E1
8.110728430E-1,-1.444553375E0,7.233970642E0,-3.555567741E0,8.188963773E0
8.304209870E-1,9.898889065E-2,2.504513741E0,-1.838982701E0,3.108736922E0
8.497996490E-1,2.935551405E-1,-3.084038734E0,-1.886851549E0,3.627351417E0
8.691783110E-1,-8.852295876E-1,-6.505695343E0,-1.758671761E0,6.797104507E0
8.885264560E-1,-2.538185596E0,-8.405520439E0,-1.531248808E0,8.912905412E0
9.079051180E-1,-1.391739964E0,-1.043508911E1,-3.490147114E0,1.109094909E1
9.272532630E-1,7.338716984E-1,-1.298504734E1,-3.291732788E0,1.341586847E1
9.466624420E-1,2.936342716E0,-1.430611420E1,-9.520256519E-1,1.463534642E1
9.660411040E-1,4.687724590E0,-1.211973190E1,-4.853278399E-1,1.300377662E1
9.853892490E-1,3.728257895E0,-7.789220810E0,-1.952773809E0,8.853541286E0
1.004767911E0,1.903688908E0,-6.006143570E0,-2.829684019E0,6.906873655E0
1.024116055E0,5.386335850E-1,-5.849156380E0,-1.792012334E0,6.141177794E0
1.043494718E0,2.201467752E-1,-5.204575539E0,-1.397223234E0,5.393357387E0
1.062873380E0,-2.047499418E-1,-3.337089539E0,-1.247877836E0,3.568653559E0
