"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.628664150E-1,-1.040945053E-1,-2.387619019E-2,-1.411171854E-1,1.769740051E-1
1.822450770E-1,5.931415558E-1,5.026688576E-1,-2.237597853E-1,8.090496444E-1
2.015932210E-1,8.883848190E-1,6.611628532E-1,-3.718971014E-1,1.168191491E0
2.209718830E-1,1.368395805E0,1.430130959E0,-6.691673398E-1,2.089393828E0
2.403505450E-1,2.166284561E0,2.510584354E0,-8.501368761E-1,3.423237548E0
2.596986900E-1,3.296927452E0,4.105115891E0,-7.196500301E-1,5.314094774E0
2.790773520E-1,4.490123749E0,6.019410610E0,-6.846891046E-1,7.540776786E0
2.984560140E-1,4.114922523E0,5.487397194E0,-1.041576028E0,6.937506466E0
3.178041590E-1,2.821501732E0,4.494758606E0,-1.653387785E0,5.558544604E0
3.372133380E-1,2.485633850E0,5.040596962E0,-1.544773579E0,5.828577766E0
3.565920000E-1,2.562968254E0,6.015165329E0,-1.245248079E0,6.655949443E0
3.759401450E-1,2.026288986E0,6.030081749E0,-1.149423122E0,6.464433964E0
3.953188070E-1,8.153476715E-1,5.046566963E0,-1.253176928E0,5.263371766E0
4.146974690E-1,-7.478218079E-1,3.559307098E0,-1.483566403E0,3.927960508E0
4.340456140E-1,-2.307966232E0,2.098334312E0,-1.703483224E0,3.554092023E0
4.534242760E-1,-3.499847412E0,1.093193293E0,-1.825002551E0,4.095685266E0
4.728029380E-1,-4.274934769E0,4.606258869E-1,-1.886067390E0,4.695156407E0
4.921816000E-1,-4.647182465E0,1.183953285E-1,-1.949090838E0,5.040761590E0
5.115297450E-1,-4.657567024E0,1.124475002E-1,-2.072762012E0,5.099207525E0
5.309084070E-1,-4.678909302E0,5.316722393E-1,-2.085221291E0,5.150050044E0
5.502870690E-1,-4.787919998E0,1.253021002E0,-1.894220352E0,5.299274505E0
5.696352130E-1,-4.656283379E0,1.949079514E0,-1.796513200E0,5.357923621E0
5.890138750E-1,-4.444101334E0,2.590935469E0,-1.771301270E0,5.440633369E0
6.083925380E-1,-4.095013618E0,3.226146936E0,-1.866944075E0,5.537385734E0
6.277712000E-1,-3.638541222E0,3.845099449E0,-1.867960453E0,5.613648390E0
6.471498620E-1,-3.346272469E0,4.379280567E0,-1.804946899E0,5.799437130E0
6.665285240E-1,-3.079385757E0,4.890970230E0,-1.800000906E0,6.053446101E0
