"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.601947980E-1,-5.276083946E-2,-4.938175678E-1,-2.317905426E0,2.370511561E0
1.795734600E-1,-8.502484560E-1,-1.485939026E-1,-3.266201019E0,3.378323798E0
1.989521220E-1,-7.112442255E-1,-6.999871731E-1,-3.952729225E0,4.076753453E0
2.183002660E-1,6.634318829E-2,-1.579631090E0,-4.032109261E0,4.330997678E0
2.376789290E-1,1.056794643E0,-7.828943729E-1,-4.144104958E0,4.347797651E0
2.570575910E-1,1.309866905E0,1.785593748E0,-3.452582359E0,4.101758317E0
2.764362530E-1,7.304828167E-1,2.931447029E0,-2.729506493E0,4.071509858E0
2.957843970E-1,4.694880247E-1,2.220535755E0,-2.310345650E0,3.238656367E0
3.151630590E-1,6.394298077E-1,1.318156958E0,-1.768139839E0,2.296241872E0
3.345417220E-1,8.946145773E-1,1.202990294E0,-1.035673141E0,1.822125063E0
3.538898660E-1,7.662173510E-1,1.240886450E0,-3.063430786E-1,1.490212834E0
3.732685280E-1,-7.821679115E-3,1.319774389E0,4.296894073E-1,1.387983647E0
3.926471900E-1,-7.840834856E-1,1.308597088E0,1.104898453E0,1.883617223E0
4.119953350E-1,-1.261104822E0,1.189936876E0,1.660431862E0,2.400701795E0
4.313739970E-1,-1.378809929E0,8.770434856E-1,2.106853485E0,2.666299627E0
4.507831770E-1,-1.077634215E0,5.297865868E-1,2.786703110E0,3.034416509E0
4.701313210E-1,-9.045482874E-1,4.898579121E-1,2.954936981E0,3.128868956E0
4.895099830E-1,-9.191347361E-1,6.007103920E-1,2.845541000E0,3.050043479E0
5.088886450E-1,-8.701139092E-1,6.915004253E-1,2.565653801E0,2.796041931E0
5.282673080E-1,-8.166316152E-1,6.344425678E-1,2.377960205E0,2.593086829E0
5.476154520E-1,-5.378437638E-1,3.061969280E-1,2.135780334E0,2.223643431E0
5.669941140E-1,-3.782195449E-1,-7.613658905E-3,1.649909973E0,1.692722928E0
5.863727760E-1,-3.136255145E-1,-2.825994492E-1,1.097580910E0,1.175970776E0
6.057209210E-1,-1.967549324E-1,-5.357823372E-1,3.792171478E-1,6.852597037E-1
6.250995830E-1,-1.366654634E-1,-3.482971191E-1,-9.946985245E-1,1.062738673E0
6.444782450E-1,-1.803303361E-1,-2.451446056E-1,-2.410421371E0,2.429556769E0
