"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.573035610E-1,-2.358660698E0,3.809869766E0,1.390208364E0,4.691595381E0
1.766822230E-1,7.468317747E-1,2.123716354E0,4.335407734E0,4.885047500E0
1.960303680E-1,2.098704338E0,1.564614296E0,5.583597183E0,6.166776735E0
2.154090300E-1,-5.337736607E-1,3.361822128E0,4.204296589E0,5.409516813E0
2.347876920E-1,-2.588593006E0,6.182780266E0,4.480955124E0,8.062663604E0
2.541358360E-1,-1.081820846E0,7.827375412E0,6.091006279E0,9.976898299E0
2.735144990E-1,7.683925629E-1,7.932730675E0,5.168672562E0,9.499148338E0
2.928931610E-1,6.421540976E-1,4.805008888E0,4.523083687E0,6.630140145E0
3.122413050E-1,3.410574198E-1,7.687511444E-1,3.129163742E0,3.240210519E0
3.316199670E-1,3.072435856E-1,-1.950489044E0,2.382791758E0,3.094592492E0
3.510291470E-1,1.838179827E-1,-3.716340065E0,3.128380060E0,4.861248228E0
3.703772910E-1,-1.082377315E0,-5.179484367E0,2.832101822E0,6.001616423E0
3.897559540E-1,-2.299880981E0,-4.898486137E0,2.718240738E0,6.055860936E0
4.091346160E-1,-2.329554558E0,-4.585350037E0,3.019316435E0,5.963935876E0
4.284827600E-1,-1.700268269E0,-4.063396454E0,3.107444048E0,5.390576169E0
4.478614220E-1,-6.399711370E-1,-3.267045975E0,3.305835009E0,4.691662558E0
4.672400840E-1,3.873276711E-2,-2.394392967E0,2.737849236E0,3.637366677E0
4.866187470E-1,4.997028112E-1,-2.169156075E0,1.488867521E0,2.677996914E0
5.059668910E-1,1.421794891E0,-2.621639252E0,9.791016579E-2,2.983970422E0
5.253455530E-1,2.654618740E0,-2.861930847E0,-6.664769650E-1,3.960030350E0
5.447242150E-1,2.846044779E0,7.050199509E-1,1.186161280E0,3.162910463E0
5.640723600E-1,2.750634193E0,5.446552277E0,6.531818390E0,8.938432281E0
5.834510220E-1,-2.326154709E-1,5.773658752E0,1.836888790E-1,5.781261709E0
6.028296840E-1,1.922932982E0,2.570997238E0,-8.945462227E0,9.504156591E0
6.222083460E-1,5.083627701E0,3.026882172E0,-4.076378345E0,7.184855371E0
6.415870080E-1,6.446009636E0,7.107730865E0,6.902327061E0,1.182002526E1
6.609656700E-1,-2.869045258E0,1.014445686E1,5.048120975E0,1.168866764E1
6.803443330E-1,-8.977117538E0,7.097835541E0,3.624002934E0,1.200422034E1
6.996924770E-1,-7.318247795E0,4.038276672E-1,2.610012054E0,7.780230748E0
7.190711390E-1,-4.887559891E0,-1.461545944E0,4.960639954E0,7.115638199E0
7.384192840E-1,-3.678409338E0,2.903918266E0,4.907039642E0,6.785460530E0
7.577979460E-1,-2.191042662E0,7.416878700E0,3.185137987E0,8.363962075E0
7.771766080E-1,-3.674929142E-1,4.013670921E0,2.715626001E0,4.859961922E0
7.965247520E-1,-6.369972229E-2,9.634685516E-2,2.729218721E0,2.731661619E0
8.159034150E-1,-9.812879562E-1,-1.511708260E0,2.674459696E0,3.225046136E0
8.352820770E-1,-1.453525543E0,-3.090339661E0,3.026617527E0,4.563260827E0
8.546607390E-1,-1.777126551E0,-3.854462624E0,3.391404629E0,5.432926122E0
8.740088830E-1,-2.076448202E0,-3.772599220E0,3.007729292E0,5.252673368E0
8.933875450E-1,-2.107947826E0,-3.331639290E0,2.169359922E0,4.499931874E0
9.127967250E-1,-2.074820042E0,-3.426136971E0,2.198207378E0,4.568961416E0
9.321448700E-1,-2.358464241E0,-3.510574341E0,2.170161009E0,4.753533905E0
9.515235320E-1,-2.099879265E0,-3.043609619E0,1.639313698E0,4.044799357E0
9.709021940E-1,-1.095958114E0,-2.502711296E0,1.211533070E0,2.988728893E0
9.902503380E-1,-4.290705919E-1,-1.408005714E0,1.648945808E0,2.210340233E0
1.009629000E0,-9.750128984E-1,2.351179123E-1,1.702550650E0,1.976008426E0
1.029007663E0,-1.576221228E0,5.028657913E-1,2.335631847E-1,1.670897700E0
1.048355807E0,-4.476058483E-1,1.503028870E-1,-9.128162861E-1,1.027704007E0
1.067734469E0,2.344637394E0,-4.318265915E-1,-2.140896320E0,3.204252763E0
1.087113131E0,3.059757233E0,1.079425812E-1,-2.782105446E0,4.136892147E0
1.106461276E0,1.364667892E0,2.173163414E0,-1.987786293E0,3.245959339E0
