"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.578359740E-1,-1.382399559E0,5.509281158E-2,1.988014340E0,2.422037319E0
1.772146360E-1,-2.002602816E0,-2.744283676E-1,1.827494621E0,2.724970744E0
1.965932980E-1,-2.470033407E0,-7.440404892E-1,9.686913490E-1,2.755544268E0
2.159414430E-1,-1.808400512E0,-2.484904289E0,1.171894908E0,3.289133535E0
2.353506230E-1,-6.806285381E-1,-4.748012543E0,2.172646046E0,5.265668918E0
2.547292850E-1,1.633403897E-1,-4.709389687E0,5.943939209E0,7.585212233E0
2.740774290E-1,-3.688252866E-1,-3.982738495E0,8.568614006E0,9.456182316E0
2.934560910E-1,1.000485420E0,-5.137522697E0,1.571684122E0,5.464915509E0
3.128347530E-1,1.521502018E0,-4.227734566E0,-7.419444323E-1,4.554030027E0
3.322134160E-1,6.462922096E-1,-2.659391403E0,-2.122010469E0,3.463088894E0
3.515615600E-1,-8.459949493E-2,-3.109799385E0,-3.175738096E0,4.445595770E0
3.709402220E-1,-6.464447379E-1,-6.093469620E0,-4.639992714E0,7.686208115E0
3.903188840E-1,-1.548256874E0,-7.247968674E0,-6.675090790E0,9.974316332E0
4.096975460E-1,-2.116338730E0,-3.557448387E0,-6.962289333E0,8.099864283E0
4.290456910E-1,-1.205074072E0,3.730049133E-1,-4.214421749E0,4.399168883E0
4.484243530E-1,-2.270556092E-1,2.604451180E0,-2.364130974E0,3.524746155E0
4.678030150E-1,2.825254798E-1,3.816492081E0,-2.494916916E0,4.568374204E0
4.871511600E-1,4.891674519E-1,4.302763939E0,-2.907481194E0,5.215985928E0
5.065298220E-1,6.270620823E-1,4.696771622E0,-2.440241098E0,5.329882470E0
5.259390010E-1,8.472273946E-1,4.991490364E0,-1.693881512E0,5.338726898E0
5.453176640E-1,1.033315659E0,5.113080978E0,-9.929518700E-1,5.310112217E0
5.646658080E-1,1.123409629E0,4.834491730E0,-4.318021536E-1,4.982049034E0
5.840444700E-1,9.966290593E-1,3.995491982E0,7.871937752E-2,4.118667551E0
6.034231320E-1,5.635633469E-1,2.939878464E0,7.139012814E-1,3.077359918E0
6.228017940E-1,-1.572893858E-1,2.212304115E0,1.198791742E0,2.521136865E0
6.421499390E-1,-6.364058256E-1,2.006410599E0,8.726058006E-1,2.278626066E0
6.615286010E-1,-7.743875980E-1,1.718482971E0,4.111827016E-1,1.929230699E0
6.809072630E-1,-5.650906563E-1,5.980272293E-1,1.641571522E-2,8.229419740E-1
7.002554080E-1,-5.600224137E-1,-7.147455215E-1,7.203367949E-1,1.159038982E0
7.196340700E-1,-9.503649473E-1,-2.248239517E0,2.161977291E0,3.260662550E0
7.390127320E-1,-1.331629992E0,-3.552738190E0,4.484695435E0,5.874323810E0
7.583913940E-1,-9.387654066E-1,-4.488732338E0,4.224929333E0,6.235385021E0
7.777395390E-1,-9.619097114E-1,-4.079657555E0,4.404559135E-1,4.214602884E0
7.971182010E-1,-5.973243117E-1,-4.690226555E0,-1.479910254E0,4.954306796E0
8.165273800E-1,-2.144529074E-1,-3.361574173E0,-1.818735242E0,3.828050267E0
8.359060430E-1,7.586923242E-2,-1.881479263E0,-1.377480388E0,2.333060774E0
8.552541870E-1,4.779767394E-1,-4.310212135E0,-1.106044888E0,4.475458156E0
8.746328490E-1,1.412416577E0,-7.209527016E0,-1.045175791E0,7.420552056E0
8.940115110E-1,3.089564323E0,-7.084338188E0,-7.893925905E-1,7.768937890E0
9.133901730E-1,3.988985538E0,-3.164922714E0,-9.307161570E-1,5.176386189E0
9.327383180E-1,3.999332905E0,1.027135849E-1,-1.947369218E0,4.449433743E0
9.521169800E-1,3.669752598E0,2.122193336E0,-2.588277340E0,4.966887182E0
9.714956420E-1,3.031745672E0,3.581157684E0,-2.280746937E0,5.217085275E0
9.908437870E-1,2.258659124E0,4.530967712E0,-1.878466129E0,5.399985597E0
1.010222449E0,1.404101610E0,5.252590179E0,-1.364094734E0,5.605529357E0
1.029601111E0,6.329061985E-1,5.851150513E0,-9.705616236E-1,5.964773461E0
1.048979773E0,5.721448362E-2,6.125881195E0,-3.728276491E-1,6.137482739E0
1.068327918E0,-4.195863903E-1,6.065646172E0,3.731312752E-1,6.091579694E0
1.087706580E0,-5.093964338E-1,4.970859528E0,9.165749550E-1,5.080259720E0
1.107115759E0,-7.394845486E-1,3.309117317E0,1.047653794E0,3.548897475E0
1.126494421E0,-1.442473292E0,1.883947372E0,1.115903378E0,2.622065455E0
1.145842566E0,-2.435692787E0,1.037473679E0,9.626286030E-1,2.817020556E0
1.165221228E0,-2.902176380E0,5.438385010E-1,1.091063738E0,3.147825938E0
1.184599890E0,-2.570981026E0,-2.233619690E-1,1.396673560E0,2.934370637E0
1.203948035E0,-1.225693703E0,-2.723049164E0,1.824763775E0,3.499583495E0
1.223326697E0,5.004219711E-2,-4.431477547E0,2.939169407E0,5.317820444E0
1.242705359E0,7.197494507E-1,-3.793848991E0,4.482436180E0,5.916380950E0
1.262084021E0,4.270559847E-1,-2.469498634E0,5.544498920E0,6.084592722E0
1.281432166E0,7.864482999E-1,-4.803386688E0,1.820823669E0,5.196770482E0
1.300810828E0,1.205262423E0,-5.747107506E0,-5.828545094E-1,5.900984797E0
1.320189490E0,4.864154458E-1,-4.183121681E0,-1.141008377E0,4.363141884E0
1.339568152E0,-2.889221311E-1,-1.506698608E0,-2.689584017E0,3.096365430E0
1.358916296E0,-8.439660072E-1,-3.245257378E0,-4.969488144E0,5.994980107E0
1.378325476E0,-8.342999816E-1,-6.295210838E0,-5.397299767E0,8.334061479E0
1.397704138E0,-4.122240841E-1,-6.876405716E0,-4.327080727E0,8.135017632E0
1.417082800E0,1.771468520E-1,-3.597293854E0,-2.691646814E0,4.496317010E0
1.436430945E0,7.585332990E-1,3.396883011E-1,-3.347406387E-1,8.959978810E-1
1.455809607E0,6.850831509E-1,2.517731667E0,-5.687425137E-1,2.670539218E0
1.475188269E0,2.383660674E-1,3.204797745E0,-2.312997818E0,3.959483031E0
1.494536414E0,1.572701335E-2,3.964369774E0,-3.051469803E0,5.002793520E0
1.513915076E0,8.449733257E-2,4.965265274E0,-2.711506605E0,5.658026786E0
