"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.582026190E-1,7.933664322E-1,1.205149651E0,6.115864515E-1,1.567116449E0
1.775812810E-1,1.715502620E0,2.811037064E0,3.298826218E0,4.661237285E0
1.969294260E-1,1.095624566E0,3.636898994E0,3.150114775E0,4.934637837E0
2.163080880E-1,-1.786434650E-1,4.910938263E0,-1.518186808E0,5.143356812E0
2.356867500E-1,-6.504434347E-1,4.949446678E0,-4.572102547E0,6.769358964E0
2.550348950E-1,-6.683614254E-1,3.705988884E0,-4.681844711E0,6.008388345E0
2.744135570E-1,-1.161862969E0,3.063066483E0,-2.109812260E0,3.896615147E0
2.937922190E-1,-4.248287201E0,4.005524635E0,1.046956539E0,5.931971826E0
3.131403630E-1,-4.679423332E0,4.512547493E0,-1.774969578E0,6.738739096E0
3.325190260E-1,-2.655032635E0,3.738877296E0,-2.390107155E0,5.171171428E0
3.518976880E-1,-1.308280945E0,3.329919815E0,7.402372360E-2,3.578469577E0
3.713068670E-1,-1.124311686E0,1.591900826E0,-6.223481894E-1,2.045859788E0
3.906855300E-1,-1.613655090E0,-2.778892517E-1,-1.572834969E0,2.270443795E0
4.100336740E-1,-1.880054951E0,-1.984743118E0,-1.250595093E0,3.006293390E0
4.294123360E-1,-2.014560938E0,-3.669069290E0,-1.319537640E0,4.388815878E0
4.487604810E-1,-1.811701059E0,-3.477496147E0,-1.450697899E0,4.180880837E0
4.681391430E-1,-1.735392332E0,-3.873507500E0,-1.260353804E0,4.427656108E0
4.875178050E-1,-2.003758192E0,-4.350702286E0,-1.560351372E0,5.037693289E0
5.068659490E-1,-2.114986420E0,-4.894774437E0,-2.159208059E0,5.752752714E0
5.262446120E-1,-2.386153460E0,-4.732139587E0,-2.069919109E0,5.689590365E0
5.456232740E-1,-1.607098103E0,-4.689107895E0,-6.589183807E-1,5.000467038E0
5.649714180E-1,-6.782488823E-1,-4.466538429E0,9.322237968E-1,4.612919715E0
5.843500800E-1,3.841469288E-1,-3.356202126E0,1.115138769E0,3.557414236E0
6.037287420E-1,5.670003891E-1,-9.169025421E-1,8.439812660E-1,1.369125301E0
6.231074050E-1,1.243935585E0,7.149906158E-1,3.388948441E-1,1.474258131E0
6.424860670E-1,1.522186279E0,2.438900948E0,-4.335443974E-1,2.907447273E0
6.618647290E-1,8.758623600E-1,4.009008408E0,2.539344788E0,4.825718106E0
6.812433910E-1,2.228442430E0,4.536825180E0,3.480440617E0,6.136954071E0
7.005915350E-1,2.868596792E0,6.163183212E0,1.430512428E0,6.946944701E0
7.199701970E-1,8.156344891E-1,9.529496193E0,-7.256000042E-1,9.591822177E0
7.393488600E-1,-1.625340462E0,9.048111916E0,-1.766555071E0,9.361131218E0
