"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.300835200E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
2.800856100E-2,-5.353021622E-2,-5.290985107E-3,-4.269433022E-2,6.867520953E-2
3.300918600E-2,-1.298580170E-1,-1.751708984E-2,-1.195800304E-1,1.773959884E-1
3.801038300E-2,-1.605410576E-1,-5.462741852E-2,-1.405260563E-1,2.202388670E-1
4.301231100E-2,-2.228240967E-1,-8.099460602E-2,-8.829951286E-2,2.529970518E-1
4.801507100E-2,-3.081154823E-1,-6.315422058E-2,-1.875162125E-2,3.150797190E-1
5.301871700E-2,-3.573100567E-1,-1.341629028E-2,8.724045753E-2,3.680507722E-1
5.802330000E-2,-3.660895824E-1,4.169178009E-2,2.002842426E-1,4.193728231E-1
6.302882100E-2,-3.332302570E-1,1.119508743E-1,3.011198044E-1,4.628698943E-1
6.803522700E-2,-2.995169163E-1,1.630783081E-1,3.408746719E-1,4.821830147E-1
7.304246700E-2,-2.503721714E-1,1.933059692E-1,3.467650414E-1,4.693606458E-1
7.805043600E-2,-1.899874210E-1,1.651868820E-1,4.043343067E-1,4.763067895E-1
8.305897700E-2,-1.225035191E-1,6.053829193E-2,4.830505848E-1,5.020058410E-1
8.806793600E-2,-1.140539646E-1,-7.198429108E-2,5.281772614E-1,5.451249989E-1
9.307715400E-2,-1.289560795E-1,-2.093658447E-1,5.238268375E-1,5.786694074E-1
9.808647700E-2,-1.565277576E-1,-2.759609222E-1,5.173534155E-1,6.068854307E-1
1.030950710E-1,-1.599962711E-1,-2.672424316E-1,4.678587914E-1,5.620579798E-1
1.081005400E-1,-1.405999660E-1,-2.278060913E-1,4.265947342E-1,5.036338282E-1
1.131059560E-1,-1.129052639E-1,-1.951141357E-1,4.014983177E-1,4.604541494E-1
1.181113730E-1,-1.454973221E-1,-1.685504913E-1,3.456668854E-1,4.111743359E-1
1.231167900E-1,-2.084555626E-1,-1.158428192E-1,2.876586914E-1,3.736586719E-1
1.281222060E-1,-2.597742081E-1,-2.896213531E-2,2.183685303E-1,3.405969164E-1
1.331276230E-1,-2.910196781E-1,2.216720581E-2,1.336965561E-1,3.210274243E-1
1.381330400E-1,-3.214540482E-1,6.665420532E-2,2.975440025E-2,3.296373955E-1
1.431384560E-1,-3.556542397E-1,1.048841476E-1,-4.220628738E-2,3.731916308E-1
1.481438730E-1,-3.934154510E-1,1.509695053E-1,-3.260445595E-2,4.226470859E-1
1.531492900E-1,-4.023420811E-1,1.816921234E-1,3.063678741E-4,4.414649157E-1
1.581547060E-1,-3.651087284E-1,2.114515305E-1,6.967663765E-2,4.276341510E-1
1.631601230E-1,-3.204207420E-1,2.356185913E-1,1.327500343E-1,4.192948177E-1
1.681655400E-1,-2.732856274E-1,2.450866699E-1,1.804833412E-1,4.090559208E-1
1.731709560E-1,-2.329857349E-1,2.773332596E-1,1.858355999E-1,4.071006752E-1
1.781763730E-1,-2.130095959E-1,2.899456024E-1,2.199068069E-1,4.216640180E-1
1.831817900E-1,-2.357966900E-1,2.975206375E-1,2.818124294E-1,4.727968423E-1
1.881872060E-1,-2.489387989E-1,2.956132889E-1,3.567715883E-1,5.259693037E-1
1.931926230E-1,-2.527689934E-1,2.798786163E-1,4.628601074E-1,5.970457963E-1
1.981980400E-1,-2.429425716E-1,2.040977478E-1,5.294923782E-1,6.172836968E-1
2.032034560E-1,-2.292294502E-1,1.210212708E-1,5.482997894E-1,6.064857360E-1
2.082088730E-1,-2.208614349E-1,3.544235229E-2,5.438687801E-1,5.880724307E-1
2.132142900E-1,-2.452950478E-1,-4.321575165E-2,5.727881193E-1,6.245986642E-1
2.182197060E-1,-2.734076977E-1,-1.524791718E-1,5.643216372E-1,6.453375684E-1
2.232251230E-1,-2.815117836E-1,-2.495918274E-1,5.941244364E-1,7.032274245E-1
2.282305400E-1,-2.794280052E-1,-3.302736282E-1,6.332312822E-1,7.669045158E-1
2.332359560E-1,-2.815442085E-1,-3.482732773E-1,7.188482285E-1,8.469381280E-1
2.382413730E-1,-2.878863811E-1,-3.237543106E-1,8.077121973E-1,9.165666456E-1
2.432467900E-1,-2.658476830E-1,-2.857818604E-1,9.090106487E-1,9.892656983E-1
2.482522060E-1,-2.442405224E-1,-2.673711777E-1,1.008228183E0,1.071291206E0
2.532576230E-1,-2.278804779E-1,-2.680416107E-1,1.091013432E0,1.146335956E0
2.582630400E-1,-2.167220116E-1,-2.920951843E-1,1.152992487E0,1.208999463E0
2.632684560E-1,-2.014007568E-1,-3.390846252E-1,1.199141026E0,1.262331116E0
2.682738730E-1,-1.632447243E-1,-3.804454803E-1,1.234495878E0,1.302062854E0
2.732792900E-1,-1.449465752E-1,-4.068956375E-1,1.240302801E0,1.313363852E0
2.782847060E-1,-1.506240368E-1,-3.905305862E-1,1.217280626E0,1.287234968E0
2.832901230E-1,-2.032825947E-1,-3.227386475E-1,1.212926149E0,1.271484916E0
2.882955400E-1,-2.549288273E-1,-2.607488632E-1,1.189235449E0,1.243888914E0
2.933009560E-1,-3.382983208E-1,-2.278566360E-1,1.151319504E0,1.221433993E0
2.983063730E-1,-3.728137016E-1,-2.375898361E-1,1.080565214E0,1.167501678E0
3.033117900E-1,-3.779971600E-1,-2.938985825E-1,1.005914211E0,1.114056386E0
3.083172060E-1,-3.777585030E-1,-3.536691666E-1,9.464241266E-1,1.078657496E0
3.133226230E-1,-4.097795486E-1,-3.416175842E-1,8.974111080E-1,1.044015589E0
3.183280400E-1,-4.734833241E-1,-2.919235229E-1,8.682984114E-1,1.031187632E0
3.233334560E-1,-5.354073048E-1,-1.816873550E-1,8.495811224E-1,1.020519162E0
3.283388730E-1,-5.438520908E-1,-9.197425842E-2,7.988241911E-1,9.707494266E-1
3.333442900E-1,-4.668242931E-1,-1.073369980E-1,7.449998856E-1,8.857036645E-1
3.383497060E-1,-3.671219349E-1,-1.602363586E-1,7.022857666E-1,8.084921173E-1
3.433551230E-1,-3.346669674E-1,-2.124404907E-1,7.271819115E-1,8.282067819E-1
3.483605400E-1,-3.213131428E-1,-2.262392044E-1,7.854826450E-1,8.782990943E-1
3.533659560E-1,-2.839832306E-1,-1.879253387E-1,8.719120622E-1,9.360518428E-1
3.583713730E-1,-1.710126400E-1,-1.311731339E-1,9.716067910E-1,9.952243317E-1
3.633767900E-1,-2.452850342E-3,-7.977294922E-2,1.050925016E0,1.053951199E0
3.683822060E-1,1.969797611E-1,-3.368759155E-2,1.100368857E0,1.118368232E0
3.733876230E-1,3.652651310E-1,2.383232117E-3,1.124967337E0,1.182783076E0
3.783930400E-1,4.269886017E-1,7.099533081E-2,1.143840790E0,1.223000963E0
3.833984560E-1,4.259898663E-1,1.339092255E-1,1.128673792E0,1.213797172E0
3.884038730E-1,4.245753288E-1,1.392583847E-1,1.103645086E0,1.190667705E0
3.934092900E-1,4.511699677E-1,1.728925705E-1,1.082966089E0,1.185859069E0
3.984147060E-1,5.005218983E-1,2.343511581E-1,1.047904015E0,1.184713239E0
4.034201230E-1,5.581271648E-1,3.090467453E-1,9.894638062E-1,1.177308136E0
4.084255400E-1,6.518599987E-1,3.825159073E-1,9.599865675E-1,1.221807713E0
4.134309560E-1,7.054426670E-1,4.074325562E-1,9.166774750E-1,1.226355673E0
4.184363730E-1,7.429208755E-1,3.938388824E-1,8.596683145E-1,1.202526550E0
4.234417900E-1,7.503178120E-1,3.516092300E-1,7.894448042E-1,1.144477596E0
4.284472060E-1,7.233777046E-1,3.142070770E-1,7.204474807E-1,1.068197530E0
4.334526230E-1,6.769139767E-1,2.768669128E-1,6.765323281E-1,9.962749672E-1
4.384580400E-1,6.019306183E-1,2.490959167E-1,6.575440764E-1,9.255989723E-1
4.434634560E-1,5.510103703E-1,2.450189590E-1,6.443966031E-1,8.825495456E-1
4.484688730E-1,5.238142014E-1,2.548675537E-1,6.087151766E-1,8.425395858E-1
4.534742900E-1,5.058097839E-1,2.642726898E-1,5.980687141E-1,8.266618286E-1
4.584797060E-1,4.779243469E-1,2.590122223E-1,5.696918964E-1,7.874311840E-1
4.634851230E-1,4.308993816E-1,2.392845154E-1,4.953835607E-1,6.988105813E-1
4.684905400E-1,4.217548370E-1,1.673135757E-1,3.570101261E-1,5.773449622E-1
4.734959560E-1,4.311275482E-1,5.680084229E-3,2.457759380E-1,4.962953132E-1
4.785013730E-1,4.117817879E-1,-2.209177017E-1,1.804674864E-1,5.009365084E-1
4.835067900E-1,3.640742302E-1,-3.981504440E-1,1.701464653E-1,5.657063203E-1
4.885122060E-1,3.549690247E-1,-4.649038315E-1,2.522534132E-1,6.370010718E-1
4.935176230E-1,3.558108807E-1,-4.885921478E-1,3.639864922E-1,7.055564018E-1
4.985230400E-1,3.713104725E-1,-5.454044342E-1,4.904813170E-1,8.221370848E-1
5.035284560E-1,3.588969707E-1,-6.680383682E-1,6.596019864E-1,1.005065708E0
5.085338730E-1,2.952651978E-1,-8.556938171E-1,8.275659084E-1,1.226482278E0
5.135392900E-1,1.431577206E-1,-9.701671600E-1,1.088779330E0,1.465318696E0
5.185447060E-1,2.697181702E-2,-1.012024879E0,1.408611059E0,1.734677766E0
5.235501230E-1,-6.746792793E-2,-1.005470276E0,1.634289384E0,1.920006299E0
5.285555400E-1,-1.118168831E-1,-9.176712036E-1,1.794750333E0,2.018849229E0
5.335609560E-1,-1.208682060E-1,-7.872819901E-1,1.913864136E0,2.072992519E0
5.385663730E-1,-7.627391815E-2,-6.384277344E-1,2.001099586E0,2.101858044E0
5.435717900E-1,3.043556213E-2,-5.330266953E-1,2.051659107E0,2.119987942E0
5.485772060E-1,1.649231911E-1,-4.613075256E-1,2.070352554E0,2.127525321E0
5.535826230E-1,3.075618744E-1,-4.278211594E-1,1.972056985E0,2.041233451E0
5.585880400E-1,4.105975628E-1,-3.896846771E-1,1.924394965E0,2.005926342E0
5.635934560E-1,4.220924377E-1,-3.233165741E-1,1.789657950E0,1.866968455E0
5.685988730E-1,3.812053204E-1,-2.574367523E-1,1.626289606E0,1.690091436E0
5.736042900E-1,3.455131054E-1,-2.015361786E-1,1.510843873E0,1.562896460E0
5.786097060E-1,3.529157639E-1,-1.602754593E-1,1.404930234E0,1.457417827E0
5.836151230E-1,3.840839863E-1,-8.607101440E-2,1.246879578E0,1.307531036E0
5.886205400E-1,4.197285175E-1,1.760482788E-3,1.065761447E0,1.145435546E0
5.936259560E-1,4.784309864E-1,1.076974869E-1,9.048314095E-1,1.029181635E0
5.986313730E-1,4.980823994E-1,2.599496841E-1,7.597402334E-1,9.449154127E-1
6.036367900E-1,5.259177685E-1,4.389686584E-1,7.254620194E-1,9.977866124E-1
6.086422060E-1,5.188958645E-1,5.732269287E-1,5.735245347E-1,9.626902004E-1
6.136476230E-1,4.202024937E-1,6.488037109E-1,4.714424610E-1,9.054139302E-1
6.186530400E-1,2.787292004E-1,3.909072876E-1,1.103496552E-2,4.802293672E-1
6.236584560E-1,1.193242073E-1,4.007787704E-1,-6.815576553E-2,4.236827795E-1
6.286638730E-1,-2.895069122E-2,5.433950424E-1,-1.632988453E-2,5.444106720E-1
6.336692900E-1,-8.538675308E-2,7.607545853E-1,2.221843004E-1,7.971225125E-1
6.386747060E-1,-4.615974426E-2,9.430799484E-1,4.551776648E-1,1.048197127E0
6.436801230E-1,1.156139374E-2,1.095386505E0,6.582921147E-1,1.278027296E0
6.486855400E-1,6.505966187E-3,1.227401257E0,7.456555963E-1,1.436161008E0
6.536909560E-1,-2.778077126E-2,1.320312977E0,8.648274541E-1,1.578583116E0
6.586963730E-1,-1.007797718E-1,1.341198444E0,9.579153657E-1,1.651233381E0
6.637017900E-1,-1.836414337E-1,1.304935932E0,1.000905037E0,1.654809009E0
6.687072060E-1,-2.475080490E-1,1.273829937E0,1.027218223E0,1.655016683E0
6.737126230E-1,-3.919591904E-1,1.314448833E0,9.705060720E-1,1.680264794E0
6.787180400E-1,-5.351097584E-1,1.431097507E0,9.125581384E-1,1.779647405E0
6.837234560E-1,-6.860334873E-1,1.599551678E0,8.535832763E-1,1.938507654E0
6.887288730E-1,-8.443789482E-1,1.757715225E0,7.984903455E-1,2.107160519E0
6.937342900E-1,-9.671158791E-1,1.900970459E0,7.425699830E-1,2.258409172E0
6.987397060E-1,-1.030673504E0,2.100724697E0,7.288279533E-1,2.450820742E0
7.037451230E-1,-1.040140867E0,2.342324734E0,7.000759840E-1,2.656780865E0
7.087505400E-1,-1.048482656E0,2.615880013E0,6.375712156E-1,2.889401526E0
7.137559560E-1,-1.017883539E0,2.868824959E0,5.415931940E-1,3.091854901E0
7.187613730E-1,-9.727435112E-1,3.058442593E0,4.789052606E-1,3.244942415E0
7.237667900E-1,-8.897066116E-1,3.189858913E0,4.397810996E-1,3.340686330E0
7.287722060E-1,-8.026008606E-1,3.268172741E0,3.859782517E-1,3.387344154E0
7.337776230E-1,-7.260115147E-1,3.317446232E0,3.604457080E-1,3.415034894E0
7.387830400E-1,-6.932592392E-1,3.385416508E0,3.152753115E-1,3.470021877E0
7.437884560E-1,-6.708366871E-1,3.429139137E0,2.172412872E-1,3.500887153E0
7.487938730E-1,-6.111855507E-1,3.420218468E0,9.535235167E-2,3.475706290E0
7.537992900E-1,-5.335845947E-1,3.325712681E0,-5.019545555E-2,3.368619441E0
7.588047060E-1,-4.522478580E-1,3.165269375E0,-1.814147234E-1,3.202556735E0
7.638101230E-1,-4.194684029E-1,3.001146793E0,-3.268620372E-1,3.047896751E0
7.688155400E-1,-4.536981583E-1,2.895233631E0,-4.576877356E-1,2.966091344E0
7.738209560E-1,-4.971630573E-1,2.818624973E0,-5.640016794E-1,2.917175987E0
7.788263730E-1,-5.114579201E-1,2.761670113E0,-6.362845302E-1,2.879803642E0
7.838317900E-1,-4.920699596E-1,2.733736992E0,-7.223246098E-1,2.870052896E0
7.888372060E-1,-4.818866253E-1,2.706117630E0,-7.743224502E-1,2.855672006E0
7.938426230E-1,-4.477300644E-1,2.712058067E0,-8.495067954E-1,2.877044137E0
7.988480400E-1,-4.134366512E-1,2.713302612E0,-9.190303683E-1,2.894401104E0
8.038534560E-1,-3.742241859E-1,2.662299156E0,-9.779033065E-1,2.860799786E0
8.088588730E-1,-3.015630245E-1,2.568889618E0,-1.073622942E0,2.800500018E0
