"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.774840600E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
4.274861500E-2,2.282559872E-3,1.177811623E-2,-2.979373932E-2,3.211854611E-2
4.774918800E-2,5.478358269E-2,-2.125644684E-2,-3.391647339E-2,6.784839446E-2
5.275033400E-2,1.498218179E-1,-3.446722031E-2,-3.385734558E-2,1.574194595E-1
5.775220900E-2,2.224710584E-1,-2.070546150E-2,1.398944855E-2,2.238700351E-1
6.275491700E-2,2.664730549E-1,9.740114212E-3,8.660507202E-2,2.803626175E-1
6.775851100E-2,2.609775066E-1,3.597402573E-2,1.638669968E-1,3.102511598E-1
7.276304200E-2,2.353441715E-1,2.594494820E-2,2.393007278E-1,3.366375763E-1
7.776851100E-2,2.026213408E-1,-3.796339035E-3,2.889852524E-1,3.529621736E-1
8.277486500E-2,1.792769432E-1,-3.033733368E-2,3.545742035E-1,3.984764008E-1
8.778205200E-2,1.118206978E-1,-3.259134293E-2,4.263954163E-1,4.420170982E-1
9.278996900E-2,-1.459538937E-2,-4.327368736E-2,5.044088364E-1,5.064720245E-1
9.779845900E-2,-1.659945846E-1,-6.649827957E-2,5.709972382E-1,5.983427691E-1
1.028074170E-1,-3.157065511E-1,-1.019220352E-1,6.051168442E-1,6.900906627E-1
1.078166360E-1,-4.474133849E-1,-1.268270016E-1,6.222677231E-1,7.768403597E-1
1.128259590E-1,-5.498712659E-1,-1.691167355E-1,6.233243942E-1,8.482288487E-1
1.178349170E-1,-6.343194842E-1,-2.192776203E-1,6.089839935E-1,9.062590067E-1
1.228403340E-1,-6.523565650E-1,-2.501204014E-1,5.300102234E-1,8.769493372E-1
1.278457500E-1,-5.849549770E-1,-2.673122883E-1,4.344682693E-1,7.761384295E-1
1.328511670E-1,-4.268587232E-1,-2.576436996E-1,3.724393845E-1,6.223341069E-1
1.378565840E-1,-2.492924333E-1,-2.675797939E-1,4.055814743E-1,5.461153685E-1
1.428620000E-1,-1.384611726E-1,-2.732365131E-1,4.289722443E-1,5.271118238E-1
1.478674170E-1,-4.475814104E-2,-3.159530163E-1,4.063634872E-1,5.166825751E-1
1.528728340E-1,4.664850235E-2,-3.665266037E-1,3.990926743E-1,5.438683633E-1
1.578781980E-1,8.106440306E-2,-3.647282124E-1,4.661254883E-1,5.973868739E-1
1.628835630E-1,5.255109072E-2,-3.632504940E-1,6.783885956E-1,7.713129230E-1
1.678889270E-1,-1.652091742E-2,-3.992369175E-1,9.342308044E-1,1.016095592E0
1.728942920E-1,-8.352464437E-2,-4.161403179E-1,9.280729294E-1,1.020523637E0
1.778996560E-1,-1.039755940E-1,-3.634612560E-1,6.781473160E-1,7.764011791E-1
1.829050210E-1,-1.312553883E-1,-3.127989769E-1,4.095401764E-1,5.317841037E-1
1.879103860E-1,-2.216500640E-1,-2.779467106E-1,2.705888748E-1,4.467677965E-1
1.929157500E-1,-3.182991743E-1,-2.768359184E-1,1.641883850E-1,4.526702065E-1
1.979211150E-1,-3.613015413E-1,-3.130245209E-1,6.129455566E-2,4.819545383E-1
2.029264790E-1,-3.434979618E-1,-3.340024948E-1,-8.959007263E-2,4.874165543E-1
2.079318440E-1,-3.041101396E-1,-3.493931293E-1,-1.804027557E-1,4.970952526E-1
2.129372090E-1,-3.091840446E-1,-3.823499680E-1,-1.618251801E-1,5.176617238E-1
2.179425730E-1,-3.483124673E-1,-4.093976021E-1,-7.397842407E-2,5.425871162E-1
2.229479380E-1,-3.556801975E-1,-4.596493244E-1,2.577686310E-2,5.817648588E-1
2.279533020E-1,-3.463843465E-1,-5.052244663E-1,1.141223907E-1,6.231033598E-1
2.329586670E-1,-3.583790064E-1,-5.422756672E-1,1.682786942E-1,6.714284253E-1
2.379640310E-1,-3.913011551E-1,-5.623629093E-1,1.939716339E-1,7.120348520E-1
2.429693960E-1,-4.259077609E-1,-5.383188725E-1,1.592769623E-1,7.046657221E-1
2.479747610E-1,-4.579879045E-1,-4.901502132E-1,6.561851501E-2,6.740222116E-1
2.529801250E-1,-4.553559422E-1,-4.230277538E-1,-2.495288849E-2,6.220322832E-1
2.579854900E-1,-4.329361916E-1,-3.607013226E-1,-1.079416275E-1,5.737513268E-1
2.629908540E-1,-4.189647138E-1,-3.500409126E-1,-1.835613251E-1,5.759816247E-1
2.679962190E-1,-4.037923515E-1,-3.287899494E-1,-2.989683151E-1,6.004441251E-1
2.730015840E-1,-3.825547397E-1,-3.297457695E-1,-4.300518036E-1,6.633437685E-1
2.780069480E-1,-3.691889346E-1,-3.283693790E-1,-5.767650604E-1,7.594635300E-1
2.830123130E-1,-3.446436226E-1,-3.098921776E-1,-7.437915802E-1,8.763779454E-1
2.880176770E-1,-2.852463126E-1,-2.692606449E-1,-8.700056076E-1,9.543461170E-1
2.930230420E-1,-2.191839665E-1,-1.919035912E-1,-9.518156052E-1,9.954001937E-1
2.980284590E-1,-1.784813255E-1,-1.249239445E-1,-1.009045601E0,1.032295791E0
3.030338750E-1,-1.433055103E-1,-7.702255249E-2,-1.056410789E0,1.068865145E0
3.080392920E-1,-1.035845578E-1,-5.661773682E-2,-1.089588165E0,1.095964278E0
3.130447090E-1,-4.974390566E-2,-6.273269653E-3,-1.099587440E0,1.100729917E0
3.180501250E-1,1.825220883E-2,4.593515396E-2,-1.077595711E0,1.078728741E0
3.230555420E-1,8.234843612E-2,1.237187386E-1,-1.028927803E0,1.039605702E0
3.280609590E-1,1.385276467E-1,1.891145706E-1,-9.587516785E-1,9.869949395E-1
3.330663750E-1,1.405305713E-1,2.279701233E-1,-9.379501343E-1,9.754330695E-1
3.380717920E-1,1.222201586E-1,2.265985012E-1,-9.280185699E-1,9.630696310E-1
3.430772090E-1,4.582373798E-2,1.999719143E-1,-9.335269928E-1,9.558039693E-1
3.480826250E-1,-5.520252883E-2,1.532325745E-1,-9.259519577E-1,9.401673091E-1
3.530880420E-1,-1.577016413E-1,9.569883347E-2,-8.346414566E-1,8.547832681E-1
3.580934590E-1,-2.672960758E-1,4.110574722E-2,-6.983652115E-1,7.488997551E-1
3.630988750E-1,-3.563967347E-1,-3.985667229E-2,-5.315866470E-1,6.412421930E-1
3.681042920E-1,-3.834993243E-1,-1.334717274E-1,-3.816089630E-1,5.572358876E-1
3.731097090E-1,-3.548102677E-1,-1.976282597E-1,-2.574043274E-1,4.808370232E-1
3.781151250E-1,-3.091247976E-1,-2.470874786E-1,-1.396245956E-1,4.196491276E-1
3.831205420E-1,-2.182694077E-1,-2.727897167E-1,-6.585025787E-2,3.555165543E-1
3.881259590E-1,-1.392305493E-1,-2.847702503E-1,-2.593135834E-2,3.180435138E-1
3.931313750E-1,-8.627930284E-2,-2.834234238E-1,1.844787598E-2,2.968388104E-1
3.981367920E-1,-6.408285350E-2,-2.879188061E-1,8.615398407E-2,3.072887241E-1
4.031422090E-1,-4.390883818E-2,-2.887301445E-1,1.579971313E-1,3.320484542E-1
4.081476250E-1,-1.580091938E-2,-3.049521446E-1,2.623281479E-1,4.025686733E-1
4.131530420E-1,3.481511772E-2,-3.461346626E-1,3.279466629E-1,4.780902747E-1
4.181588750E-1,6.073634326E-2,-3.647537231E-1,3.884677887E-1,5.363221092E-1
4.231647090E-1,6.195924431E-2,-3.518002033E-1,4.345598221E-1,5.625340612E-1
4.281703340E-1,7.617913932E-2,-2.744750977E-1,4.096603394E-1,4.989603533E-1
4.331757500E-1,8.435684443E-2,-1.995069981E-1,3.476772308E-1,4.096322452E-1
4.381811670E-1,8.203727752E-2,-1.549172401E-1,2.915315628E-1,3.401765987E-1
4.431865840E-1,6.496939063E-2,-1.019809246E-1,2.362689972E-1,2.654132057E-1
4.481920000E-1,4.773045331E-2,-5.467510223E-2,1.770505905E-1,1.913490909E-1
4.531974170E-1,3.083180636E-2,3.469562531E-2,1.564044952E-1,1.631464153E-1
4.582027810E-1,4.776622355E-2,5.702280998E-2,1.170282364E-1,1.386680247E-1
4.632081460E-1,6.952938437E-2,6.994009018E-2,1.017093658E-1,1.416712625E-1
4.682135110E-1,1.062281281E-1,8.791041374E-2,8.645153046E-2,1.627468069E-1
4.732188750E-1,1.627144814E-1,1.537358761E-1,8.537769318E-2,2.395831224E-1
4.782242400E-1,2.196307629E-1,2.289657593E-1,9.834480286E-2,3.321666618E-1
4.832296040E-1,2.394327223E-1,3.276174068E-1,1.252212524E-1,4.246664054E-1
