"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.971521500E-2,-3.975152969E-3,-3.211879730E-2,-5.990266800E-3,3.291355766E-2
3.471584000E-2,3.092646599E-2,-1.158924103E-1,-1.570601463E-1,1.976243574E-1
3.971703800E-2,1.301934719E-1,-1.784896851E-2,-4.348332882E-1,4.542564411E-1
4.471896500E-2,2.764494419E-1,-1.247539520E-1,-7.515008450E-1,8.103958060E-1
4.972172500E-2,4.662604332E-1,-2.351312637E-1,-1.058633208E0,1.180419321E0
5.472537100E-2,6.344110966E-1,-3.077249527E-1,-1.306589127E0,1.484704426E0
5.972995400E-2,7.446815968E-1,-3.231258392E-1,-1.462167382E0,1.672391833E0
6.473547500E-2,7.352007627E-1,-3.205099106E-1,-1.478079319E0,1.681655505E0
6.974188100E-2,6.235357523E-1,-2.616920471E-1,-1.337683201E0,1.498891560E0
7.474912100E-2,4.192692041E-1,-1.977071762E-1,-1.061738729E0,1.158517986E0
7.975709000E-2,2.176703215E-1,-1.888971329E-1,-6.721770167E-1,7.313579407E-1
8.476563100E-2,2.859735489E-2,-2.704277039E-1,-2.945588231E-1,4.008913219E-1
8.977464200E-2,-1.108944416E-1,-1.965179443E-1,4.650294781E-2,2.303896781E-1
9.478396500E-2,-2.187864780E-1,-1.150846481E-1,4.065307379E-1,4.757932745E-1
9.979339200E-2,-2.845919132E-1,-3.467178345E-2,7.112210989E-1,7.668312338E-1
1.048024540E-1,-3.202151060E-1,1.176061630E-1,9.479452372E-1,1.007456747E0
1.098079230E-1,-3.227343559E-1,4.834480286E-1,1.175412774E0,1.311287402E0
1.148133920E-1,-2.843811512E-1,6.316480637E-1,1.456754923E0,1.613067519E0
1.198188610E-1,-9.719061852E-2,5.779075623E-1,1.624698162E0,1.727155837E0
1.248243290E-1,4.147756100E-2,7.050065994E-1,1.637922168E0,1.783688235E0
1.298297980E-1,1.255555153E-1,7.534742355E-1,1.671233177E0,1.837527672E0
1.348352670E-1,3.773742914E-1,2.410774231E-1,1.878542781E0,1.931179085E0
1.398407360E-1,6.041907072E-1,1.752147675E-1,1.899293900E0,2.000765839E0
1.448462040E-1,1.575525999E-1,-4.722404480E-1,3.589613914E0,3.623970463E0
1.498516730E-1,8.654188514E-1,-8.371496201E-1,3.065612555E0,3.293592204E0
1.548571420E-1,1.105917692E0,-2.128105164E-1,1.720378399E0,2.056220828E0
1.598626110E-1,9.483644366E-1,4.440631866E-1,5.461444855E-1,1.181042344E0
1.648680270E-1,9.007058144E-1,-1.283884048E-1,1.472790241E-1,9.216537623E-1
1.698734440E-1,8.551316261E-1,-1.520435333E0,2.030165195E-1,1.756186040E0
1.748788610E-1,8.005713224E-1,-2.026701927E0,2.014617920E-1,2.188383421E0
1.798842770E-1,6.397331953E-1,-1.647609711E0,1.784965992E-1,1.776439517E0
1.848896940E-1,4.638212919E-1,-1.012126923E0,3.063583374E-2,1.113763733E0
1.898951110E-1,2.215722799E-1,-3.490247726E-1,-1.946716309E-1,4.569569028E-1
1.949005270E-1,6.366574764E-2,3.702325821E-1,-5.596979856E-1,6.740825820E-1
1.999059440E-1,7.205712795E-2,8.333482742E-1,-8.466963768E-1,1.190191720E0
2.049113610E-1,7.081043720E-2,9.313154221E-1,-1.030312657E0,1.390649742E0
2.099167770E-1,9.295201302E-2,8.789806366E-1,-1.136857271E0,1.440031767E0
2.149221940E-1,1.004707813E-1,8.947515488E-1,-1.163676858E0,1.471332234E0
2.199276110E-1,1.168774366E-1,7.949132919E-1,-1.149948001E0,1.402828529E0
2.249330270E-1,7.108747959E-2,8.018064499E-1,-1.106033206E0,1.367938765E0
2.299350060E-1,-3.596341610E-2,1.034466743E0,-1.074698687E0,1.492109942E0
2.349369860E-1,-1.288435459E-1,1.179354668E0,-9.946064949E-1,1.548134416E0
2.399393810E-1,-2.223937511E-1,1.158982277E0,-8.438109159E-1,1.450763854E0
2.449422980E-1,-3.300440311E-1,1.028205872E0,-6.242624521E-1,1.247333150E0
2.499458400E-1,-3.989855051E-1,7.279596329E-1,-3.896565437E-1,9.170315602E-1
2.549500590E-1,-3.867553473E-1,4.485988617E-1,-1.971566677E-1,6.242526644E-1
2.599549540E-1,-2.710154057E-1,-5.002689362E-2,2.369236946E-2,2.766104997E-1
2.649605270E-1,-9.113550186E-2,-5.202188492E-1,2.715811729E-1,5.938768090E-1
2.699667250E-1,6.311261654E-2,-7.849340439E-1,5.030000210E-1,9.344055205E-1
2.749734960E-1,9.398031235E-2,-8.721141815E-1,6.284105778E-1,1.079034429E0
2.799807880E-1,3.640437126E-2,-9.263324738E-1,5.220382214E-1,1.063927175E0
2.849884960E-1,-7.110047340E-2,-8.780822754E-1,1.911611557E-1,9.014579009E-1
2.899965170E-1,-2.108453512E-1,-8.373117447E-1,-2.205889225E-1,8.911824688E-1
2.950047460E-1,-4.067146778E-1,-7.943477631E-1,-4.347394705E-1,9.926749745E-1
3.000130790E-1,-5.730781555E-1,-5.702915192E-1,-4.587107897E-1,9.295518155E-1
3.050210480E-1,-5.506333113E-1,-2.571706772E-1,-5.011440516E-1,7.877049962E-1
3.100265170E-1,-3.996980190E-1,1.395483017E-1,-5.267726183E-1,6.758118276E-1
3.150319860E-1,-2.360708714E-1,5.392284393E-1,-5.999388695E-1,8.404899840E-1
3.200374540E-1,-1.119966507E-1,8.294572830E-1,-7.090024948E-1,1.096917122E0
3.250429230E-1,-2.683281898E-2,1.069022179E0,-7.957261801E-1,1.332932321E0
3.300483920E-1,2.090597153E-2,1.273008347E0,-8.411179781E-1,1.525931441E0
3.350538610E-1,7.574605942E-2,1.399485588E0,-7.749593258E-1,1.601517822E0
3.400593290E-1,1.114511490E-1,1.421202183E0,-5.750813484E-1,1.537190802E0
3.450647980E-1,1.489752531E-1,1.287714005E0,-3.139591217E-1,1.333780834E0
3.500702670E-1,2.266554832E-1,9.967632294E-1,-7.643318176E-2,1.025061791E0
3.550757360E-1,3.095053434E-1,6.125926971E-1,1.254553795E-1,6.977122777E-1
3.600812040E-1,2.917612791E-1,2.598142624E-1,3.504717350E-1,5.248414351E-1
3.650866730E-1,1.792575121E-1,6.083869934E-2,6.842284203E-1,7.099317813E-1
3.700920900E-1,4.973757267E-2,-5.287933350E-2,9.692964554E-1,9.720111463E-1
3.750975060E-1,2.276897430E-2,-1.208019257E-1,1.181914806E0,1.188290428E0
3.801029230E-1,8.878564835E-2,-1.253566742E-1,1.255379200E0,1.264742710E0
3.851083400E-1,2.703930140E-1,-9.633731842E-2,1.208544016E0,1.242164200E0
3.901137560E-1,4.570413828E-1,-3.461742401E-2,1.154688120E0,1.242332422E0
3.951191730E-1,5.961470604E-1,1.650333405E-2,1.068677187E0,1.223819679E0
4.001245900E-1,7.068291903E-1,1.444816589E-2,9.357764721E-1,1.172814503E0
4.051300060E-1,8.221797943E-1,1.183319092E-2,8.364684582E-1,1.172944636E0
4.101354230E-1,8.145290017E-1,3.692054749E-2,8.076860905E-1,1.147683511E0
4.151408400E-1,7.849779129E-1,1.081838608E-1,7.536864281E-1,1.093589184E0
4.201462560E-1,7.151663303E-1,1.446275711E-1,7.124667168E-1,1.019798430E0
4.251516730E-1,7.142398357E-1,1.751728058E-1,6.084711552E-1,9.544952601E-1
4.301570900E-1,6.442815661E-1,3.465080261E-1,6.788675785E-1,9.980118926E-1
4.351625060E-1,7.086995840E-1,1.125688553E-1,8.772320747E-1,1.133341502E0
4.401679230E-1,5.121884942E-1,-2.044200897E-2,7.471573353E-1,9.060899586E-1
4.451733400E-1,3.519827127E-1,-2.076625824E-2,6.424934864E-1,7.328853578E-1
4.501787560E-1,3.602466583E-1,-8.191108704E-3,4.307456017E-1,5.615928440E-1
4.551841730E-1,3.785057068E-1,-1.526832581E-3,2.275419235E-1,4.416381191E-1
4.601895900E-1,3.541190624E-1,-3.353881836E-2,3.366279602E-2,3.572930821E-1
4.651950060E-1,2.917910814E-1,-5.618858337E-2,-1.644890308E-1,3.396407416E-1
4.702004230E-1,2.058855295E-1,-6.929111481E-2,-3.138749599E-1,3.817166493E-1
4.752058400E-1,1.155738831E-1,-4.902172089E-2,-4.283993244E-1,4.464150902E-1
4.802112560E-1,3.039872646E-2,-7.604598999E-2,-4.793066978E-1,4.862530059E-1
4.852166730E-1,-3.523302078E-2,-5.020999908E-2,-5.187008381E-1,5.223150095E-1
4.902220900E-1,-7.198977470E-2,-5.247974396E-2,-5.415244102E-1,5.488035514E-1
4.952275060E-1,-8.003699780E-2,-4.931449890E-2,-5.523755550E-1,5.603182976E-1
5.002329230E-1,-6.935584545E-2,-6.437778473E-2,-5.701310635E-1,5.779309318E-1
5.052383920E-1,-5.446159840E-2,-8.329105377E-2,-6.043229103E-1,6.124619541E-1
