"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.153970300E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
2.653991100E-2,-1.800632477E-2,3.852546215E-2,-5.307340622E-2,6.800900980E-2
3.154048400E-2,-2.558040619E-2,7.053422928E-2,-1.017227173E-1,1.263999442E-1
3.654163000E-2,-1.186943054E-2,1.179058552E-1,-9.913444519E-2,1.545002016E-1
4.154350500E-2,-5.811119080E-2,9.131771326E-2,-1.079916954E-2,1.087770992E-1
4.654621300E-2,-1.780309677E-1,2.214843035E-2,1.017581224E-1,2.062529852E-1
5.154980700E-2,-2.894296646E-1,-6.753313541E-2,2.482717037E-1,3.872584331E-1
5.655433800E-2,-3.632898331E-1,-8.217090368E-2,3.988873959E-1,5.457496814E-1
6.155980700E-2,-3.878993988E-1,-6.439781189E-2,5.549550056E-1,6.801382801E-1
6.656616100E-2,-4.237260818E-1,-3.867697716E-2,6.786185503E-1,8.009761781E-1
7.157334900E-2,-4.042692184E-1,-7.942974567E-2,7.822054029E-1,8.840746449E-1
7.658126500E-2,-3.637094498E-1,-1.862630248E-1,8.591054678E-1,9.513362618E-1
8.158975500E-2,-2.714366913E-1,-2.980813384E-1,8.766914606E-1,9.649447025E-1
8.659866100E-2,-1.916999817E-1,-4.378019571E-1,8.705956340E-1,9.931546680E-1
9.160782800E-2,-9.111785889E-2,-5.511167049E-1,8.741590977E-1,1.037393953E0
9.661709900E-2,7.759094238E-3,-6.358965635E-1,8.469986916E-1,1.059165439E0
1.016261090E-1,1.195030212E-1,-6.854741573E-1,8.501596451E-1,1.098602391E0
1.066314740E-1,1.853666306E-1,-6.888917685E-1,8.732352853E-1,1.127595903E0
1.116368380E-1,1.899280548E-1,-6.807624102E-1,9.019858837E-1,1.145900807E0
1.166422030E-1,1.542911530E-1,-6.393767595E-1,9.361975193E-1,1.144147803E0
1.216475670E-1,5.713558197E-2,-6.077202559E-1,9.750773311E-1,1.150375672E0
1.266529320E-1,-1.451091766E-1,-5.626026392E-1,9.993147850E-1,1.155944827E0
1.316582970E-1,-4.076366425E-1,-4.996759892E-1,1.008377552E0,1.196941525E0
1.366636610E-1,-6.876659393E-1,-3.635970354E-1,1.019748569E0,1.282565550E0
1.416690260E-1,-8.705177307E-1,-1.604928970E-1,1.027090311E0,1.355903240E0
