"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.311495800E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
2.811516600E-2,-2.101516724E-2,-9.045600891E-3,-1.610395908E-1,1.626567243E-1
3.311573900E-2,-3.861761093E-2,-8.537006378E-2,-2.985592484E-1,3.129169099E-1
3.811688500E-2,-8.559226990E-3,-2.040042877E-1,-3.312910199E-1,3.891590287E-1
4.311876000E-2,1.476144791E-2,-2.483730316E-1,-2.415213287E-1,3.467558441E-1
4.812146800E-2,1.082820892E-1,-1.973705292E-1,-1.070833802E-1,2.492929741E-1
5.312506200E-2,2.680957317E-1,-1.650781631E-1,2.994692326E-2,3.162640345E-1
5.812959300E-2,5.130743980E-1,-1.839523315E-1,1.278830767E-1,5.598552308E-1
6.313506200E-2,8.182766438E-1,-2.306413651E-1,3.110833764E-1,9.052872318E-1
6.814141600E-2,1.078439236E0,-2.072401047E-1,4.869757891E-1,1.201301405E0
7.314855100E-2,1.242877007E0,-1.792831421E-1,6.569473743E-1,1.417203426E0
7.815641600E-2,1.297529459E0,-1.414051056E-1,8.080105782E-1,1.535076283E0
8.316485300E-2,1.320585489E0,-8.016395569E-2,9.045462608E-1,1.602677832E0
8.817370800E-2,1.278055429E0,-4.969596863E-2,9.696685076E-1,1.605039683E0
9.318282200E-2,1.271846771E0,-8.792114258E-2,9.657274485E-1,1.599360448E0
9.819204100E-2,1.254869461E0,-1.955757141E-1,9.459354877E-1,1.583584911E0
1.032007390E-1,1.398568869E0,-2.116823196E-1,8.249065876E-1,1.637459973E0
1.082061030E-1,1.454287052E0,-3.176517487E-1,5.876947641E-1,1.600387015E0
1.132114160E-1,1.312515020E0,-4.640531540E-1,5.178132057E-1,1.485318661E0
1.182167280E-1,1.271889925E0,-9.454917908E-2,4.675872326E-1,1.358411333E0
1.232220410E-1,1.348305941E0,3.808498383E-1,5.431934595E-1,1.502675828E0
1.282273530E-1,1.198664427E0,5.204849243E-1,7.201546431E-1,1.492087020E0
1.332326660E-1,1.034851074E0,6.916542053E-1,7.700060606E-1,1.463629604E0
1.382379780E-1,9.846448898E-1,9.580039978E-1,8.405722380E-1,1.610546152E0
1.432432910E-1,9.133048058E-1,1.050318718E0,9.223642349E-1,1.669745747E0
1.482486030E-1,8.027014732E-1,9.064884186E-1,9.602894783E-1,1.545382409E0
1.532539160E-1,6.133971214E-1,5.713186264E-1,1.099253654E0,1.382396325E0
1.582592280E-1,4.364681244E-1,2.443208694E-1,1.253514051E0,1.349627574E0
1.632645410E-1,3.363783360E-1,-2.499961853E-2,1.385932922E0,1.426388948E0
1.682698530E-1,2.874779701E-1,-2.069387436E-1,1.446349382E0,1.489091590E0
1.732751660E-1,2.741169930E-1,-2.399501801E-1,1.422586799E0,1.468492225E0
1.782804780E-1,3.364179134E-1,-1.843738556E-1,1.367552757E0,1.420341957E0
1.832857910E-1,4.437992573E-1,-1.169805527E-1,1.309483647E0,1.387584107E0
