"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.257194400E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
2.757210000E-2,8.485692739E-2,-2.515339851E-2,1.455450058E-1,1.703430078E-1
3.257262100E-2,1.782793999E-1,-6.405043602E-2,4.508442879E-1,4.890261493E-1
3.757366300E-2,2.540322244E-1,-5.873227119E-2,6.073455811E-1,6.609466738E-1
4.257533000E-2,3.135163188E-1,-7.552337646E-2,6.476635933E-1,7.235083915E-1
4.757772500E-2,3.660838902E-1,-2.292633057E-2,9.165148735E-1,9.871892142E-1
5.258090300E-2,3.861289024E-1,1.635339260E-1,1.284191608E0,1.350920783E0
5.758491300E-2,3.843597770E-1,3.320791721E-1,1.565773010E0,1.646102711E0
6.258975700E-2,3.240184784E-1,3.698351383E-1,1.662052155E0,1.733258021E0
6.759538200E-2,3.036925197E-1,2.116379738E-1,1.579693317E0,1.622482898E0
7.260173600E-2,3.702024817E-1,-1.118698120E-1,1.364032745E0,1.417797610E0
7.760871500E-2,4.097130001E-1,-5.450534821E-1,1.077054977E0,1.274753100E0
8.261621500E-2,3.563264608E-1,-9.622952938E-1,7.938413620E-1,1.297368447E0
8.762413200E-2,2.148771584E-1,-1.236167192E0,5.542817116E-1,1.371681354E0
9.263230900E-2,-1.985225081E-2,-1.347538471E0,3.436055183E-1,1.390797899E0
9.764059000E-2,-3.317729533E-1,-1.356393218E0,1.802692413E-1,1.407967632E0
1.026486110E-1,-7.293290496E-1,-1.200777531E0,1.051597595E-1,1.408845668E0
1.076533500E-1,-1.090276957E0,-9.290254116E-1,7.659912109E-2,1.434454420E0
1.126580900E-1,-1.361433148E0,-6.041785479E-1,1.054277420E-1,1.493200236E0
1.176628300E-1,-1.595651031E0,-2.543138266E-1,1.887674332E-1,1.626779296E0
1.226675690E-1,-1.814312100E0,8.464288712E-2,2.877321243E-1,1.838935179E0
1.276723090E-1,-2.050391912E0,3.964864016E-1,4.109525681E-1,2.128424411E0
