"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.107657000E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
2.607672600E-2,3.207969666E-2,1.068120003E-1,-5.595207214E-2,1.247739745E-1
3.107724700E-2,5.627679825E-2,3.340430260E-1,-1.427469254E-1,3.675982942E-1
3.607828900E-2,9.017705917E-2,5.205674171E-1,-2.283592224E-1,5.755608328E-1
4.108000700E-2,1.784887314E-1,6.473207474E-1,-3.190002441E-1,7.433999818E-1
4.608250700E-2,1.737680435E-1,8.051242828E-1,-3.950500488E-1,9.135014969E-1
5.108584100E-2,8.640050888E-2,9.245495796E-1,-4.751815796E-1,1.043098512E0
5.609005900E-2,1.676692963E-1,9.255042076E-1,-5.682525635E-1,1.098900363E0
6.109516400E-2,3.272686005E-1,8.553142548E-1,-6.357460022E-1,1.114827426E0
6.610110100E-2,5.131554604E-1,7.076010704E-1,-4.468994141E-1,9.817061106E-1
7.110782000E-2,7.239630222E-1,5.625205040E-1,-4.563331604E-3,9.168274641E-1
7.611521600E-2,1.011991739E0,3.675942421E-1,5.229072571E-1,1.196948122E0
8.112318400E-2,1.324057341E0,1.185173988E-1,8.864459991E-1,1.597798712E0
8.613157000E-2,1.631640673E0,-1.447572708E-1,1.165156364E0,2.010172954E0
9.114021600E-2,1.906700611E0,-3.801722527E-1,1.510697365E0,2.462162604E0
9.614901800E-2,2.127864361E0,-6.193766594E-1,1.989738464E0,2.978337345E0
1.011578200E-1,2.280111074E0,-8.420939445E-1,2.395828247E0,3.412919822E0
1.061629240E-1,2.284116268E0,-1.142110109E0,2.640632629E0,3.673491978E0
1.111680280E-1,2.120614767E0,-1.413879156E0,2.665147781E0,3.687692226E0
1.161730800E-1,1.860704899E0,-1.687968969E0,2.492827415E0,3.539159573E0
1.211781320E-1,1.511163712E0,-1.910881996E0,2.176204681E0,3.266642402E0
1.261831840E-1,1.137107134E0,-2.067391157E0,1.769221306E0,2.949112216E0
