"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.216475500E-2,1.896488667E-1,2.180123329E-2,-8.485794067E-3,1.910863551E-1
3.716678600E-2,1.455957890E-1,-9.030866623E-2,-3.813076019E-2,1.755213486E-1
4.216959900E-2,7.957983017E-2,-1.138675213E-1,-1.349821091E-1,1.936980422E-1
4.717324500E-2,4.216027260E-2,-3.254294395E-2,-2.164731026E-1,2.229285444E-1
5.217777600E-2,-3.685760498E-2,-1.850128174E-3,-2.441482544E-1,2.469215992E-1
5.718319200E-2,-1.526544094E-1,-7.151365280E-3,-2.273035049E-2,1.545030083E-1
6.218944200E-2,-2.704520226E-1,1.859951019E-2,1.216554642E-2,2.713636652E-1
6.719642200E-2,-2.754943371E-1,1.635885239E-1,6.631422043E-2,3.271939956E-1
7.210163000E-2,-1.069476604E-1,3.707306385E-1,2.932639122E-1,4.846470165E-1
7.701558800E-2,1.651310921E-1,5.666239262E-1,6.333928108E-1,8.657467321E-1
8.194157800E-2,3.377649784E-1,6.376342773E-1,9.710321426E-1,1.209779349E0
8.688230700E-2,3.565645218E-1,5.787270069E-1,1.269209862E0,1.439776677E0
9.183975500E-2,1.959385872E-1,4.777288437E-1,1.523288727E0,1.608423241E0
9.681517200E-2,-7.137799263E-2,4.127337933E-1,1.579356194E0,1.633955320E0
1.018090260E-1,-2.522437572E-1,3.999030590E-1,1.534201622E0,1.605404618E0
1.068210570E-1,-3.177297115E-1,3.783557415E-1,1.478725433E0,1.559081186E0
1.118502240E-1,-4.206132889E-1,3.624749184E-1,1.440118790E0,1.543452537E0
1.168949110E-1,-5.056517124E-1,3.429329395E-1,1.380671501E0,1.509814707E0
1.219529320E-1,-5.397014618E-1,3.103225231E-1,1.251194954E0,1.397521574E0
1.270216300E-1,-5.097601414E-1,3.283278942E-1,1.137400627E0,1.288927769E0
1.320980360E-1,-5.120775700E-1,3.939242363E-1,1.139630318E0,1.310021757E0
1.371790260E-1,-4.679222107E-1,5.184431076E-1,1.147629738E0,1.343424157E0
1.422613700E-1,-3.054451942E-1,7.274210453E-1,1.124155045E0,1.373376390E0
1.472997030E-1,-1.439857483E-1,9.865660667E-1,1.037567139E0,1.438954505E0
1.523049630E-1,-9.367227554E-2,1.212451935E0,9.862585068E-1,1.565733065E0
1.573102240E-1,-1.310930252E-1,1.389057875E0,9.866752625E-1,1.708857874E0
1.623154840E-1,-1.966366768E-1,1.500917196E0,9.899682999E-1,1.808716575E0
1.673207450E-1,-2.004435062E-1,1.523510456E0,9.860048294E-1,1.825778528E0
1.723260050E-1,-2.366712093E-1,1.400298119E0,1.006804466E0,1.740834086E0
1.773312650E-1,-3.787503242E-1,1.136049271E0,1.111624718E0,1.633942859E0
1.823365260E-1,-5.957407951E-1,8.322777748E-1,1.353648186E0,1.697043547E0
1.873417860E-1,-8.189404011E-1,6.006169319E-1,1.775608063E0,2.045528800E0
1.923470470E-1,-9.287877083E-1,3.915410042E-1,2.265498161E0,2.479603372E0
1.973523070E-1,-7.590279579E-1,1.989727020E-1,2.616955757E0,2.732063508E0
2.023575670E-1,-5.635848045E-1,-4.354572296E-2,2.754932404E0,2.812325836E0
2.073628280E-1,-4.733006954E-1,-2.231466770E-1,2.801630020E0,2.850076974E0
2.123680880E-1,-4.662721157E-1,-3.231952190E-1,2.829338074E0,2.885657424E0
2.173733490E-1,-5.724701881E-1,-4.015636444E-1,2.749465942E0,2.836994615E0
2.223786090E-1,-8.125832081E-1,-5.139403343E-1,2.610707283E0,2.782124845E0
2.273838700E-1,-1.086286068E0,-7.140562534E-1,2.427685738E0,2.753824939E0
2.323891300E-1,-1.393439770E0,-9.373750687E-1,2.298734665E0,2.846845179E0
