"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.001797300E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
2.501812900E-2,5.885028839E-2,5.552339554E-2,2.349948883E-2,8.425218022E-2
3.001859800E-2,3.123393059E-1,2.098655701E-1,3.343114853E-1,5.033523306E-1
3.501948300E-2,7.600626945E-1,3.677651882E-1,7.038249969E-1,1.099234352E0
4.002089000E-2,1.258419037E0,4.751019478E-1,9.775333405E-1,1.662802383E0
4.502292100E-2,1.620225668E0,5.070762634E-1,1.337347984E0,2.161193463E0
5.002562900E-2,1.904397726E0,4.895725250E-1,1.730186462E0,2.619151991E0
5.502906700E-2,2.293040991E0,4.725661278E-1,2.413634300E0,3.362586247E0
6.003323300E-2,2.654953957E0,3.828830719E-1,2.866445541E0,3.925798008E0
6.503807700E-2,2.692512989E0,-4.107809067E-2,3.016272545E0,4.043416089E0
7.004354600E-2,2.523777962E0,-6.146459579E-1,2.917449951E0,3.906246161E0
7.504958800E-2,2.286897898E0,-1.230149269E0,2.552104950E0,3.640935168E0
8.005609800E-2,2.035111666E0,-1.777179122E0,1.987592697E0,3.354186914E0
8.506297300E-2,1.605767012E0,-2.216576338E0,1.280345917E0,3.021751814E0
9.007005600E-2,9.468017817E-1,-2.588572264E0,6.975812912E-1,2.843195321E0
9.507724400E-2,8.098062277E-1,-2.974166870E0,-1.752109528E-1,3.087418594E0
1.000844310E-1,-1.330919266E-1,-2.831932783E0,-4.413309097E-1,2.869203674E0
1.050888060E-1,-1.149611592E0,-2.566119671E0,-7.696647644E-1,2.915297725E0
1.100929730E-1,-1.893314600E0,-2.201196671E0,-1.177705765E0,3.133192912E0
1.150971400E-1,-2.355161667E0,-1.728303909E0,-1.350859642E0,3.218484527E0
1.201013060E-1,-2.353460550E0,-1.448556423E0,-1.366166115E0,3.082775069E0
1.251054730E-1,-2.078451157E0,-1.380703926E0,-1.438024521E0,2.879968240E0
1.301096400E-1,-2.450106382E0,-9.426643848E-1,-1.344757080E0,2.949577772E0
1.351138060E-1,-2.743602037E0,-6.881781220E-1,-1.215217590E0,3.078586536E0
1.401179730E-1,-2.909419537E0,-4.370763302E-1,-9.198398590E-1,3.082509225E0
1.451221400E-1,-2.835186481E0,-2.210599780E-1,-5.455980301E-1,2.895656594E0
1.501263060E-1,-2.418943405E0,-1.446155310E-1,-3.285217285E-1,2.445429896E0
1.551304730E-1,-1.786989570E0,-2.209259272E-1,-3.029870987E-1,1.825908314E0
1.601346400E-1,-1.501129150E0,-2.728186250E-1,1.029262543E-1,1.529186889E0
1.651388060E-1,-1.125087142E0,-4.381896257E-1,2.861814499E-1,1.240858996E0
1.701429730E-1,-6.125798225E-1,-8.833870888E-1,-1.763830185E-1,1.089374939E0
1.751471400E-1,-1.508271694E-1,-1.394179821E0,-9.232177734E-1,1.678933371E0
1.801513060E-1,1.556224823E-1,-1.860839248E0,-1.692701340E0,2.520352929E0
1.851554730E-1,3.284192085E-1,-2.120722294E0,-2.262990952E0,3.118725745E0
1.901596400E-1,3.609761596E-1,-2.234762430E0,-2.515421867E0,3.384052907E0
1.951638060E-1,2.720707655E-1,-2.272954226E0,-2.687596321E0,3.530370717E0
2.001679730E-1,1.405021548E-1,-2.266832113E0,-2.949796677E0,3.722844224E0
2.051721400E-1,-3.080832958E-2,-2.252018452E0,-3.300060272E0,3.995364071E0
2.101763060E-1,-2.991293073E-1,-2.272870779E0,-3.699261665E0,4.352006065E0
2.151804730E-1,-6.287022829E-1,-2.391056061E0,-3.973752975E0,4.680077815E0
2.201846400E-1,-1.005403757E0,-2.320513487E0,-4.229336739E0,4.927769151E0
2.251888060E-1,-1.145185351E0,-2.195801497E0,-4.480204582E0,5.119104101E0
2.301929730E-1,-9.091839790E-1,-2.095184803E0,-4.538895607E0,5.081140443E0
2.351971400E-1,1.201171875E-1,-3.381017447E0,-1.688786507E0,3.781230881E0
2.402013060E-1,5.075201988E-1,-3.466509104E0,-2.945538521E0,4.577167169E0
2.452054730E-1,1.533438444E0,-3.306470871E0,-3.889228821E0,5.330129820E0
2.502096400E-1,1.974236250E0,-3.360699415E0,-3.636816978E0,5.330886143E0
2.552138060E-1,1.848140717E0,-3.068523645E0,-3.886599541E0,5.285557441E0
2.602179730E-1,1.602697372E0,-2.742660522E0,-4.492651939E0,5.502249273E0
2.652221400E-1,1.205149055E0,-2.337728977E0,-5.073127270E0,5.714366221E0
2.702263060E-1,9.004535675E-1,-1.964275599E0,-5.728144169E0,6.122159004E0
2.752304730E-1,1.123344898E-1,-1.792297363E0,-6.379038811E0,6.626996682E0
2.802346400E-1,-1.276462317E0,-2.166259527E0,-6.892366409E0,7.336671664E0
2.852388060E-1,-3.202585459E0,-2.910850763E0,-7.212561131E0,8.411340193E0
2.902429730E-1,-4.751284122E0,-3.411583662E0,-7.186129570E0,9.265746710E0
2.952471400E-1,-5.543394566E0,-3.219849825E0,-6.864187717E0,9.392216417E0
3.002513060E-1,-5.387638092E0,-2.596306324E0,-6.743561745E0,9.013494092E0
3.052554730E-1,-4.735406399E0,-1.747208714E0,-6.749949455E0,8.428441713E0
