"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.486231000E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
2.986246600E-2,1.367530823E-1,3.759050369E-2,3.422307968E-2,1.458960954E-1
3.486293500E-2,2.896695137E-1,9.381413460E-2,2.833485603E-1,4.159277890E-1
3.986387200E-2,3.976428509E-1,1.730852127E-1,7.450695038E-1,8.620944804E-1
4.486538300E-2,5.469336510E-1,3.072948456E-1,1.444499016E0,1.574847277E0
4.986757000E-2,7.876591682E-1,5.161147118E-1,2.437929153E0,2.613480422E0
5.487048700E-2,1.372040033E0,4.277014732E-1,3.078095913E0,3.397071806E0
5.987418500E-2,2.049857855E0,7.304573059E-2,3.403928280E0,3.974164143E0
6.487866400E-2,2.468174458E0,-3.765516281E-1,3.619108200E0,4.396773868E0
6.988387200E-2,2.607609034E0,-8.698633909E-1,3.724380493E0,4.628962870E0
7.488975800E-2,2.541749001E0,-1.379556060E0,3.587906837E0,4.608333579E0
7.989626800E-2,2.363721132E0,-1.672184944E0,3.290458679E0,4.382978257E0
8.490330000E-2,2.128720522E0,-2.038713455E0,2.820750237E0,4.079759247E0
8.991069500E-2,1.902288437E0,-2.430209637E0,2.167156219E0,3.771098813E0
9.491835200E-2,1.620398998E0,-2.455809593E0,1.420803070E0,3.267319243E0
9.992611200E-2,1.284365892E0,-2.465352058E0,6.007795334E-1,2.844027525E0
1.049337160E-1,7.259702086E-1,-2.557450771E0,-3.054494858E-1,2.675983292E0
1.099381430E-1,1.463612318E-1,-2.672013521E0,-1.300101280E0,2.975120368E0
1.149425700E-1,-4.287850857E-1,-2.670782804E0,-2.162889957E0,3.463384242E0
1.199469970E-1,-8.715136051E-1,-2.599404097E0,-2.646380424E0,3.810481200E0
1.249514250E-1,-1.044274449E0,-2.588035345E0,-2.867230892E0,4.001180958E0
1.299558520E-1,-1.210001826E0,-2.202257156E0,-2.930171967E0,3.860045175E0
1.349602790E-1,-2.003771305E0,-1.546687007E0,-2.544925213E0,3.589426762E0
1.399647060E-1,-2.407169104E0,-1.037585020E0,-2.499771595E0,3.622140775E0
1.449691330E-1,-2.560766935E0,-5.923136473E-1,-2.684417725E0,3.756921782E0
1.499735600E-1,-2.584354877E0,-2.153410912E-1,-2.593266487E0,3.667464109E0
1.549779870E-1,-2.380933523E0,1.432405710E-1,-2.452871323E0,3.421394457E0
1.599824140E-1,-2.062259912E0,5.177005529E-1,-2.287069798E0,3.122758087E0
1.649868410E-1,-1.767083883E0,9.090136290E-1,-2.007431507E0,2.824654401E0
1.699912680E-1,-8.534786701E-1,1.123891950E0,-1.764439106E0,2.259381401E0
1.749956950E-1,-8.074204922E-1,1.201592803E0,-1.365525246E0,1.990078469E0
1.800001220E-1,-8.692758083E-1,1.249075174E0,-1.091712475E0,1.872876224E0
1.850045500E-1,-7.570610046E-1,1.225735188E0,-9.791722298E-1,1.741937533E0
1.900089770E-1,-4.656958580E-1,1.170919895E0,-1.007749081E0,1.613531606E0
1.950134040E-1,-1.347368956E-1,1.150428772E0,-1.098066807E0,1.596054856E0
2.000178310E-1,3.207442760E-1,9.899280071E-1,-1.411309242E0,1.753461755E0
2.050222580E-1,4.547516108E-1,8.356785178E-1,-1.653396130E0,1.907583910E0
2.100266850E-1,4.808592796E-1,6.898781061E-1,-1.878138065E0,2.057804665E0
2.150311120E-1,4.338411093E-1,5.690104365E-1,-2.091327667E0,2.210348931E0
2.200355390E-1,4.123975039E-1,4.526672661E-1,-2.149168015E0,2.234704121E0
2.250399660E-1,3.764137030E-1,3.212590218E-1,-2.112057686E0,2.169258469E0
2.300443930E-1,3.230556250E-1,1.879518628E-1,-1.852013588E0,1.889350462E0
2.350488200E-1,3.246974945E-1,2.856695652E-1,-1.594352245E0,1.651966902E0
2.400532470E-1,3.081548214E-1,3.192872405E-1,-1.311018467E0,1.384078450E0
2.450576750E-1,2.063350677E-1,2.666335702E-1,-9.511938095E-1,1.009176538E0
2.500621020E-1,-3.297388554E-2,1.894557476E-1,-2.310180664E-1,3.005829410E-1
2.550665290E-1,-3.236762285E-1,6.357097626E-2,5.797319412E-1,6.670057673E-1
2.600709560E-1,-6.597939730E-1,1.660302281E-1,1.418945312E0,1.573626361E0
2.650753830E-1,-9.035912752E-1,1.865842938E-1,2.230541229E0,2.413836172E0
2.700798100E-1,-1.124599576E0,1.778765321E-1,2.964540482E0,3.175667573E0
2.750842370E-1,-1.210494637E0,1.126787663E-1,3.591073036E0,3.791279378E0
2.800886640E-1,-9.519622326E-1,2.590560913E-2,3.620595932E0,3.743743861E0
2.850930910E-1,-7.012703419E-1,1.836663485E-2,3.459547997E0,3.529956057E0
2.900975180E-1,-6.721154451E-1,7.254713774E-2,3.591425896E0,3.654496165E0
2.951019970E-1,-7.879945040E-1,1.528090835E-1,3.809563637E0,3.893207040E0
3.001064770E-1,-1.041629314E0,8.806729317E-2,3.581615448E0,3.731047667E0
3.051109560E-1,-1.347411752E0,-2.631664276E-2,3.164861679E0,3.439848898E0
3.101154350E-1,-1.735143781E0,-1.018002629E-1,2.934135437E0,3.410313475E0
3.151199140E-1,-2.112750530E0,-9.821474552E-3,2.641169548E0,3.382245977E0
3.201243930E-1,-2.281211376E0,2.008886933E-1,1.900417328E0,2.975880984E0
3.251288720E-1,-2.110484600E0,4.433711171E-1,9.490718842E-1,2.356153780E0
3.301333520E-1,-1.680188179E0,5.792728066E-1,-2.713966370E-2,1.777449257E0
3.351378310E-1,-1.232274055E0,6.893486977E-1,-9.442682266E-1,1.698629877E0
3.401423100E-1,-8.315858841E-1,7.824407816E-1,-1.790701389E0,2.123760845E0
3.451467890E-1,-6.279451847E-1,9.093732238E-1,-2.512961388E0,2.745223079E0
3.501512680E-1,-8.155829906E-1,1.077505350E0,-2.954507351E0,3.248893209E0
3.551557470E-1,-1.231762648E0,8.964769840E-1,-3.107197762E0,3.460576272E0
3.601602270E-1,-1.419396877E0,7.587812543E-1,-3.137642860E0,3.526363454E0
3.651647060E-1,-1.689281464E0,5.879650116E-1,-2.953764915E0,3.453129290E0
3.701691850E-1,-1.958206177E0,5.088989139E-1,-2.444577694E0,3.173249066E0
3.751736640E-1,-2.245202303E0,5.072755814E-1,-1.628401279E0,2.819566035E0
3.801781430E-1,-2.454914570E0,5.877159238E-1,-8.815779686E-1,2.673797911E0
3.851826220E-1,-2.524528027E0,6.273350120E-1,3.274106979E-1,2.621829273E0
3.901871020E-1,-2.460587978E0,7.921071053E-1,1.923878670E0,3.222302903E0
3.951915810E-1,-2.616355181E0,5.002200007E-1,3.902583122E0,4.725006826E0
4.001960600E-1,-2.143433571E0,2.764965296E-1,5.907248497E0,6.290178265E0
4.052005390E-1,-1.407981873E0,1.932528019E-1,7.148736954E0,7.288634964E0
4.102050180E-1,-3.096091747E-1,1.447615623E-1,8.156157494E0,8.163315430E0
4.152094970E-1,9.009220600E-1,-1.133711338E-1,8.706118584E0,8.753343039E0
4.202139770E-1,1.941303968E0,-4.283205271E-1,8.852851868E0,9.073318344E0
4.252184560E-1,2.807379246E0,-7.950699329E-1,8.649715424E0,9.128586492E0
4.302229350E-1,3.870607853E0,-2.296284676E0,1.109646606E1,1.197439299E1
4.352274140E-1,5.452184677E0,-3.954279184E0,1.263516045E1,1.431816752E1
4.402318930E-1,5.674283981E0,-2.236711025E0,6.695211411E0,9.056833373E0
4.452363720E-1,4.874321938E0,-1.804541469E0,5.400783539E0,7.495588509E0
4.502408520E-1,3.149869442E0,-1.111035585E0,5.601774216E0,6.521959210E0
4.552453310E-1,1.341955185E0,-1.511708379E0,5.762511253E0,6.106770168E0
4.602498100E-1,-1.209046841E-1,-2.155694485E0,4.120398521E0,4.651808318E0
4.652542890E-1,-1.679822922E0,-2.762339830E0,2.940866470E0,4.370471597E0
4.702587680E-1,-3.097383499E0,-2.681205273E0,2.008698463E0,4.562621590E0
4.752632470E-1,-4.061179161E0,-1.937114358E0,1.011779785E0,4.611863674E0
4.802677270E-1,-4.653736115E0,-1.344880342E0,-1.451616287E-1,4.846342421E0
4.852722060E-1,-4.812235832E0,-8.623654842E-1,-1.394632339E0,5.083924399E0
4.902766850E-1,-4.361723900E0,-3.477122784E-1,-2.107089996E0,4.856476857E0
4.952811640E-1,-3.538243771E0,1.754781008E-1,-2.030060768E0,4.083026851E0
5.002856430E-1,-2.890044928E0,7.077734470E-1,-1.942221165E0,3.553241617E0
5.052901220E-1,-2.039572477E0,1.263410091E0,-1.840437412E0,3.023784188E0
5.102946020E-1,-7.635324001E-1,1.925055265E0,-1.284332275E0,2.436868666E0
5.152990810E-1,2.271590233E-1,2.670377254E0,-1.257524490E-1,2.682970291E0
5.203035600E-1,4.951777458E-1,3.352819920E0,8.727912903E-1,3.499766714E0
5.253080390E-1,1.157016993E0,3.827045441E0,1.361001015E0,4.223421467E0
5.303125180E-1,2.080620289E0,4.309730530E0,1.704522133E0,5.080172608E0
5.353169970E-1,2.577984095E0,4.716747761E0,2.014130592E0,5.740246813E0
5.403214770E-1,2.980552673E0,4.888891220E0,2.127559662E0,6.108310873E0
5.453259560E-1,3.386491060E0,4.658806324E0,1.929869652E0,6.074306128E0
5.503304350E-1,3.537787199E0,4.030564785E0,1.950511932E0,5.706652920E0
5.553349140E-1,3.577484369E0,3.162675142E0,2.228992462E0,5.269659938E0
5.603393930E-1,4.367730618E0,2.324959040E0,1.837749481E0,5.278241036E0
5.653438720E-1,5.612874985E0,1.240587473E0,8.298845291E-1,5.807936915E0
5.703483520E-1,5.871552944E0,2.379499972E-1,1.559638977E-2,5.876393233E0
5.753528310E-1,5.260638237E0,-2.386514843E-1,-4.788875580E-2,5.266266469E0
5.803573100E-1,4.322923660E0,-5.311182141E-1,-5.441036224E-1,4.389282889E0
5.853617890E-1,3.189537048E0,-6.272945404E-1,-1.075530052E0,3.423946541E0
5.903662680E-1,2.011554241E0,-4.709326625E-1,-2.666537762E0,3.373210885E0
5.953707470E-1,7.319745421E-1,-3.135203123E-1,-4.334323406E0,4.406862955E0
6.003752270E-1,4.934918284E-1,-1.820524335E-1,-5.694134712E0,5.718378039E0
6.053797060E-1,8.396971226E-2,-2.305700779E-1,-5.837634087E0,5.842789163E0
6.103841850E-1,4.119781256E-1,-6.503173709E-1,-5.340673923E0,5.395872183E0
6.153886640E-1,1.555093169E0,-9.144141674E-1,-5.135239124E0,5.442898942E0
6.203931430E-1,2.219782829E0,-5.859431624E-1,-5.504605293E0,5.964180131E0
6.253976220E-1,2.170003414E0,8.907020092E-2,-6.098131180E0,6.473333933E0
